Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac
-55_-71_1000000.0,219.95,-55,-71,1000000,0,0.413811911
-55_-70_1000000.0,314.06,-55,-70,1000000,0,0.414755926
-55_-69_1000000.0,446.49,-55,-69,1000000,0.001263344,0.454145768
-55_-68_1000000.0,431.83,-55,-68,1000000,0.023626596,0.453011814
-55_-67_1000000.0,341.05,-55,-67,1000000,0.030572771,0.457805189
-54_-72_1000000.0,283.23,-54,-72,1000000,0.008444681,0.42966481
-54_-70_1000000.0,307.01,-54,-70,1000000,0.01979507,0.43343693
-54_-69_1000000.0,300.06,-54,-69,1000000,0.081016832,0.412172308
-54_-68_1000000.0,282.04,-54,-68,1000000,0.082612246,0.415244145
-53_-74_1000000.0,216.88,-53,-74,1000000,0,0.419857965
-53_-73_1000000.0,432.13,-53,-73,1000000,0.000705181,0.486943613
-53_-72_1000000.0,364.55,-53,-72,1000000,0.027143807,0.434729284
-53_-71_1000000.0,265.12,-53,-71,1000000,0.062159507,0.422746132
-53_-70_1000000.0,245.26,-53,-70,1000000,0.091070934,0.423464577
-53_-69_1000000.0,239.95,-53,-69,1000000,0.128398802,0.422120417
-52_-75_1000000.0,215.26,-52,-75,1000000,0,0.416358477
-52_-74_1000000.0,217.19,-52,-74,1000000,0.001628947,0.416880343
-52_-73_1000000.0,409.51,-52,-73,1000000,0.010038997,0.442394015
-52_-72_1000000.0,317.04,-52,-72,1000000,0.089344301,0.429237891
-52_-71_1000000.0,264.89,-52,-71,1000000,0.141450417,0.414044688
-52_-70_1000000.0,259.07,-52,-70,1000000,0.143063728,0.417695218
-52_-69_1000000.0,248.76,-52,-69,1000000,0.085579849,0.428304412
-52_-60_1000000.0,240.92,-52,-60,1000000,0.065119535,0.414604042
-52_-59_1000000.0,236.81,-52,-59,1000000,0.072383001,0.412991598
-51_-75_1000000.0,247.45,-51,-75,1000000,0,0.418978095
-51_-74_1000000.0,417.95,-51,-74,1000000,0.000462387,0.491590067
-51_-73_1000000.0,397.91,-51,-73,1000000,0.034784388,0.422766268
-51_-72_1000000.0,340.68,-51,-72,1000000,0.620632371,0.384721191
-51_-71_1000000.0,314.74,-51,-71,1000000,0.268918172,0.433063377
-51_-70_1000000.0,269.33,-51,-70,1000000,0.262750286,0.418567145
-50_-74_1000000.0,446.78,-50,-74,1000000,0,0.424467368
-50_-73_1000000.0,320.51,-50,-73,1000000,0.188101167,0.354953847
-50_-72_1000000.0,328.27,-50,-72,1000000,0.778347266,0.380192618
-50_-71_1000000.0,309.4,-50,-71,1000000,0.861367042,0.359894611
-50_-70_1000000.0,292.6,-50,-70,1000000,0.307797804,0.428620634
-50_-69_1000000.0,298.44,-50,-69,1000000,0.183525059,0.433043704
-50_-68_1000000.0,261.26,-50,-68,1000000,0.085593558,0.441799064
-49_-75_1000000.0,499.6,-49,-75,1000000,0.101319312,0.452015095
-49_-74_1000000.0,466,-49,-74,1000000,0.053075082,0.411978358
-49_-73_1000000.0,330.12,-49,-73,1000000,0.31884257,0.352534665
-49_-72_1000000.0,294.77,-49,-72,1000000,1.489958597,0.331765128
-49_-71_1000000.0,300.29,-49,-71,1000000,1.50651784,0.336284431
-49_-70_1000000.0,299.13,-49,-70,1000000,0.72885789,0.384371217
-49_-69_1000000.0,274.19,-49,-69,1000000,0.285136301,0.436671427
-49_-68_1000000.0,266.4,-49,-68,1000000,0.210879123,0.439936898
-49_69_1000000.0,218.33,-49,69,1000000,0,0.423377975
-48_-75_1000000.0,348.16,-48,-75,1000000,0.001725415,0.471186436
-48_-74_1000000.0,492.35,-48,-74,1000000,0.060751313,0.413373797
-48_-73_1000000.0,423.46,-48,-73,1000000,0.164560912,0.409190044
-48_-72_1000000.0,298.08,-48,-72,1000000,0.950436159,0.343624568
-48_-71_1000000.0,290.9,-48,-71,1000000,1.67392885,0.349945142
-48_-70_1000000.0,285.72,-48,-70,1000000,0.708857367,0.399660215
-48_-69_1000000.0,257.69,-48,-69,1000000,0.422552121,0.427956666
-48_-68_1000000.0,281.58,-48,-68,1000000,0.444493142,0.429888399
-48_-67_1000000.0,266.8,-48,-67,1000000,0.394295814,0.440416586
-48_-66_1000000.0,253.67,-48,-66,1000000,0.148515037,0.441674132
-47_-74_1000000.0,482.23,-47,-74,1000000,0,0.432934964
-47_-73_1000000.0,366.33,-47,-73,1000000,0.117432888,0.383771517
-47_-72_1000000.0,298.58,-47,-72,1000000,0.819476856,0.339039937
-47_-71_1000000.0,284.38,-47,-71,1000000,1.738186351,0.331163688
-47_-70_1000000.0,282.03,-47,-70,1000000,0.866217212,0.386279654
-47_-69_1000000.0,287.52,-47,-69,1000000,1.510696033,0.35724772
-47_-68_1000000.0,267.76,-47,-68,1000000,0.341594683,0.438205242
-47_-67_1000000.0,256.2,-47,-67,1000000,0.266756826,0.440606502
-47_168_1000000.0,297.4,-47,168,1000000,0.001067571,0.448014988
-46_-75_1000000.0,283.59,-46,-75,1000000,8.10E-05,4.47E-01
-46_-74_1000000.0,448.81,-46,-74,1000000,7.58E-05,4.19E-01
-46_-73_1000000.0,417.57,-46,-73,1000000,0.158251904,0.386941539
-46_-72_1000000.0,309.23,-46,-72,1000000,0.712467655,0.350137408
-46_-71_1000000.0,266.91,-46,-71,1000000,0.479417152,0.409741472
-46_-70_1000000.0,253.7,-46,-70,1000000,0.557635678,0.418976621
-46_-69_1000000.0,270.04,-46,-69,1000000,0.646552238,0.413409036
-46_-68_1000000.0,262.24,-46,-68,1000000,0.555928506,0.423944552
-46_167_1000000.0,352.74,-46,167,1000000,3.55E-05,4.63E-01
-46_168_1000000.0,352.89,-46,168,1000000,1.233992035,0.38484589
-46_169_1000000.0,348.55,-46,169,1000000,1.461633757,0.383638531
-46_170_1000000.0,341.68,-46,170,1000000,0.400691903,0.388415589
-45_-73_1000000.0,430.36,-45,-73,1000000,0.040057961,0.391541956
-45_-72_1000000.0,343.17,-45,-72,1000000,0.315843926,0.367606618
-45_-71_1000000.0,274.56,-45,-71,1000000,0.498762593,0.401079515
-45_-70_1000000.0,270.72,-45,-70,1000000,0.628726836,0.407306381
-45_-69_1000000.0,277.22,-45,-69,1000000,1.782755796,0.370096337
-45_-68_1000000.0,273.2,-45,-68,1000000,0.934066887,0.40760202
-45_-67_1000000.0,263.21,-45,-67,1000000,0.400713359,0.422464832
-45_-66_1000000.0,247.64,-45,-66,1000000,0.002828446,0.439935005
-45_168_1000000.0,351.29,-45,168,1000000,0.003848257,0.379125991
-45_169_1000000.0,326.28,-45,169,1000000,0.338546822,0.360039239
-45_170_1000000.0,314.73,-45,170,1000000,0.695249781,0.359620024
-45_171_1000000.0,318.34,-45,171,1000000,0.367078797,0.367587886
-44_-73_1000000.0,409.91,-44,-73,1000000,0.001392984,0.39734258
-44_-72_1000000.0,368.32,-44,-72,1000000,0.215444596,0.383442898
-44_-71_1000000.0,287.22,-44,-71,1000000,1.552294881,0.335875468
-44_-70_1000000.0,273.7,-44,-70,1000000,0.807133391,0.388030003
-44_-69_1000000.0,273.96,-44,-69,1000000,1.729863484,0.368602764
-44_-68_1000000.0,273.75,-44,-68,1000000,1.493271165,0.376211225
-44_-67_1000000.0,265.59,-44,-67,1000000,0.701751545,0.41833563
-44_-66_1000000.0,252.99,-44,-66,1000000,0.337271997,0.438028716
-44_169_1000000.0,354.37,-44,169,1000000,0.001228105,0.374956277
-44_170_1000000.0,314.38,-44,170,1000000,0.279271273,0.360098588
-44_171_1000000.0,309.7,-44,171,1000000,0.732469682,0.353773806
-43_-74_1000000.0,351.49,-43,-74,1000000,0.003993974,0.445614603
-43_-72_1000000.0,351.61,-43,-72,1000000,0.06223288,0.37743323
-43_-71_1000000.0,289.77,-43,-71,1000000,1.605772038,0.339583328
-43_-70_1000000.0,278.05,-43,-70,1000000,2.321911063,0.338596767
-43_-69_1000000.0,268.97,-43,-69,1000000,2.765557923,0.336897846
-43_-68_1000000.0,265.84,-43,-68,1000000,1.102127025,0.387343726
-43_-67_1000000.0,275.74,-43,-67,1000000,2.783280681,0.341491103
-43_-66_1000000.0,267.41,-43,-66,1000000,0.630538186,0.424294882
-43_-65_1000000.0,258.32,-43,-65,1000000,0.104142507,0.441566166
-43_146_1000000.0,359.92,-43,146,1000000,0.001832216,0.45343231
-43_147_1000000.0,329.35,-43,147,1000000,0.130361924,0.371187033
-43_171_1000000.0,353.41,-43,171,1000000,0.452878303,0.38311562
-43_172_1000000.0,311.22,-43,172,1000000,0.391348782,0.35789203
-43_173_1000000.0,302.27,-43,173,1000000,0.445150146,0.344641913
-42_-74_1000000.0,320.44,-42,-74,1000000,0.01208855,0.427680054
-42_-72_1000000.0,349.45,-42,-72,1000000,0.003412723,0.373968647
-42_-71_1000000.0,276.36,-42,-71,1000000,1.58232089,0.331893018
-42_-70_1000000.0,265.35,-42,-70,1000000,2.736156617,0.338310445
-42_-69_1000000.0,263.97,-42,-69,1000000,2.255563292,0.340250807
-42_-68_1000000.0,260.21,-42,-68,1000000,0.886386197,0.375069732
-42_-67_1000000.0,267.58,-42,-67,1000000,0.950459565,0.376804697
-42_-66_1000000.0,256.09,-42,-66,1000000,0.442998793,0.442685695
-42_146_1000000.0,357.38,-42,146,1000000,0.004222953,0.414490897
-42_147_1000000.0,304.09,-42,147,1000000,0.505900809,0.349652476
-42_148_1000000.0,298.27,-42,148,1000000,0.244093387,0.353931678
-42_172_1000000.0,355.78,-42,172,1000000,0.036863607,0.388525133
-42_173_1000000.0,302.78,-42,173,1000000,0.369927156,0.358081492
-42_174_1000000.0,294.29,-42,174,1000000,0.299732713,0.348441951
-41_-73_1000000.0,340.22,-41,-73,1000000,0.40822049,0.382768454
-41_-72_1000000.0,329.42,-41,-72,1000000,0.001170816,0.361437642
-41_-71_1000000.0,276.99,-41,-71,1000000,1.123747108,0.329894888
-41_-70_1000000.0,267.49,-41,-70,1000000,2.555181903,0.331927083
-41_-69_1000000.0,264.19,-41,-69,1000000,2.281532106,0.337387937
-41_-68_1000000.0,264.3,-41,-68,1000000,1.655537595,0.351371725
-41_-67_1000000.0,267.99,-41,-67,1000000,0.682952408,0.356776917
-41_-66_1000000.0,275.76,-41,-66,1000000,0.94545415,0.376694255
-41_-64_1000000.0,255.44,-41,-64,1000000,0.331156412,0.440662352
-41_-63_1000000.0,263.01,-41,-63,1000000,0.213087243,0.438254052
-41_145_1000000.0,308.59,-41,145,1000000,0.011411082,0.451902332
-41_147_1000000.0,283.13,-41,147,1000000,0.041794305,0.416508605
-41_148_1000000.0,285.05,-41,148,1000000,0.059581195,0.373812085
-41_173_1000000.0,303.08,-41,173,1000000,0.074355577,0.356442
-41_174_1000000.0,275.08,-41,174,1000000,0.009743726,0.415302541
-41_175_1000000.0,281.01,-41,175,1000000,0.044163461,0.432938491
-41_176_1000000.0,282.61,-41,176,1000000,0.094059959,0.4396772
-40_-73_1000000.0,321.53,-40,-73,1000000,0.224961125,0.356526458
-40_-72_1000000.0,327.67,-40,-72,1000000,0.042387332,0.35829748
-40_-71_1000000.0,271.16,-40,-71,1000000,1.542110097,0.325780548
-40_-70_1000000.0,268.55,-40,-70,1000000,2.535290353,0.325794815
-40_-69_1000000.0,265.42,-40,-69,1000000,2.543762499,0.338150637
-40_-68_1000000.0,265.53,-40,-68,1000000,1.774452035,0.360858795
-40_-67_1000000.0,273.39,-40,-67,1000000,2.406560454,0.344323849
-40_-66_1000000.0,268.76,-40,-66,1000000,0.765521253,0.403459246
-40_-65_1000000.0,268.8,-40,-65,1000000,0.691072702,0.418637424
-40_-64_1000000.0,274.14,-40,-64,1000000,0.745003527,0.406102363
-40_-63_1000000.0,276.63,-40,-63,1000000,0.591861125,0.40011616
-40_144_1000000.0,263.54,-40,144,1000000,0.015155138,0.44603881
-40_148_1000000.0,254.88,-40,148,1000000,0.02097645,0.435580297
-40_176_1000000.0,316.24,-40,176,1000000,0.648346402,0.37079523
-39_-73_1000000.0,302.5,-39,-73,1000000,0.383101738,0.347300783
-39_-72_1000000.0,310.03,-39,-72,1000000,0.199054668,0.366127815
-39_-71_1000000.0,268.87,-39,-71,1000000,1.13446218,0.324831645
-39_-70_1000000.0,261.63,-39,-70,1000000,2.679355956,0.323830741
-39_-69_1000000.0,264.97,-39,-69,1000000,2.404352927,0.325192907
-39_-68_1000000.0,266.88,-39,-68,1000000,2.0630847,0.333941621
-39_-67_1000000.0,268.63,-39,-67,1000000,2.293312864,0.345711234
-39_-66_1000000.0,270.39,-39,-66,1000000,2.020765895,0.352097411
-39_-65_1000000.0,271.52,-39,-65,1000000,1.332340846,0.367436487
-39_-64_1000000.0,276.13,-39,-64,1000000,1.192833789,0.351561042
-39_-63_1000000.0,277.63,-39,-63,1000000,1.038020988,0.355013574
-39_175_1000000.0,321.83,-39,175,1000000,0.247074071,0.375114036
-39_176_1000000.0,321.74,-39,176,1000000,0.268519003,0.371080818
-39_177_1000000.0,309.89,-39,177,1000000,0.230084394,0.363582014
-38_-73_1000000.0,293.84,-38,-73,1000000,0.229098728,0.347136268
-38_-72_1000000.0,292.66,-38,-72,1000000,0.264473184,0.350444873
-38_-71_1000000.0,256.92,-38,-71,1000000,1.629489093,0.323403044
-38_-70_1000000.0,253.73,-38,-70,1000000,3.066137479,0.325570867
-38_-69_1000000.0,259.29,-38,-69,1000000,2.403207585,0.330003709
-38_-68_1000000.0,262.21,-38,-68,1000000,2.31790874,0.333773657
-38_-67_1000000.0,265.59,-38,-67,1000000,1.848489061,0.345718376
