commodity,from_id,to_id,flow
p0,p0,oft_ship153,0.05529791974008076
p2,p2,oft_ship74,0.3434105281016822
p3,p3,oft_ship158,0.16870900002588032
p4,p4,oft_ship78,0.045366124080810935
p5,p5,oft_ship76,0.3676600229772463
p6,p6,oft_ship99,0.2642296616363918
p7,p7,oft_f3,0.2780979971441651
p8,p8,oft_ship18,0.36401630006887786
p9,p9,oft_ship154,0.2144228841467774
p10,p10,oft_ship80,0.11149628929210972
p11,p11,oft_ship47,0.4713901683946628
p12,p12,oft_ship52,0.2611577186656639
p13,p13,oft_ship22,0.07173825360872313
p14,p14,oft_ship33,0.0816292519639461
p15,p15,oft_ship153,0.06441614287348496
p16,p16,oft_f10,0.1471376909054174
p17,p17,oft_ship61,0.05099992775791998
p18,p18,oft_ship52,0.06507733064784765
p19,p19,oft_f9,0.46209872288921033
p20,p20,oft_ship154,0.22034942086796735
p21,p21,oft_ship99,0.2749018754338244
p22,p22,oft_ship78,0.06726041676545491
p23,p23,oft_ship137,0.042326549436008415
p24,p24,oft_ship74,0.4907063220126224
p25,p25,t165,0.032056306347240514
p25,t165,oft_ship156,0.032056306347240514
p26,p26,oft_ship74,0.2770409764944792
p27,p27,oft_f10,0.1010709842069181
p28,p28,oft_ship25,0.03849565353935072
p30,p30,oft_f10,0.0600750341139594
p31,p31,oft_f10,0.17674481731680936
p32,p32,oft_ship114,0.05660744621686069
p33,p33,oft_ship18,0.13158050192560372
p34,p34,oft_ship76,0.13838584486158179
p35,p35,oft_ship60,0.026168885146031794
p36,p36,oft_ship51,0.3554092991758384
p37,p37,oft_ship78,0.05209467231293206
p38,p38,oft_ship25,0.07029722036419936
p39,p39,oft_f3,0.12388759722612498
p40,p40,oft_ship52,0.10492273287889828
p41,p41,oft_ship51,0.07268292491195825
p42,p42,oft_ship1,0.0830492470595165
p43,p43,oft_ship157,0.20908021092082332
p44,p44,t153,0.027680164249646463
p44,t153,oft_ship144,0.027680164249646463
p45,p45,oft_ship18,0.4609903295753658
p46,p46,oft_ship159,0.06085772962321659
p47,p47,oft_ship99,0.13437019063780173
p48,p48,oft_ship80,0.0921803728513659
p49,p49,oft_ship61,0.06913243741206267
