commodity,from_id,to_id,flow
p0,p0,oft_steel12,5.529791974008076
p2,p2,t77,34.34105281016822
p2,t77,t148,18.615748527862053
p2,t148,oft_steel3,18.615748527862053
p2,t77,t22,15.725304282306169
p2,t22,oft_sh1,15.725304282306169
p3,t173,oft_steel5,16.870900002588034
p3,t167,t173,16.870900002588034
p3,p3,t167,16.870900002588034
p4,p4,oft_f7,4.536612408081093
p5,p5,t80,17.327962297724632
p5,p5,oft_sh4,19.43804
p5,t148,oft_steel3,17.327962297724632
p5,t80,t148,17.327962297724632
p6,t106,t147,0.9704952896231109
p6,t173,oft_steel5,7.819279602894024
p6,t144,oft_steel4,10.784824617021679
p6,t106,t94,2.561349248408071
p6,t93,oft_sh6,4.287017405692293
p6,t106,t173,7.819279602894024
p6,t147,oft_steel2,0.9704952896231109
p6,p6,t106,26.422966163639177
p6,t106,t93,4.287017405692293
p6,t106,t144,10.784824617021679
p6,t94,oft_steel9,2.561349248408071
p7,p7,oft_steel1,13.257770627955306
p7,p7,oft_f1,12.290223253307015
p7,p7,oft_f3,2.261805833154188
p8,p8,oft_sh10,12.18504
p8,t18,t94,24.216590006887785
p8,p8,t18,24.216590006887785
p8,t94,oft_steel8,24.216590006887785
p9,p9,t163,21.44228841467774
p9,t147,oft_sh2,10.73444
p9,t147,oft_steel2,10.707848414677741
p9,t163,t147,21.44228841467774
p10,p10,t87,11.149628929210973
p10,t87,t147,11.149628929210973
p10,t147,oft_steel2,11.149628929210973
p11,t49,t93,12.539942594307707
p11,t127,oft_f4,9.068514245158575
p11,t93,oft_sh6,12.539942594307707
p11,t49,t120,25.530559999999998
p11,p11,t49,47.13901683946628
p11,t49,t127,9.068514245158575
p11,t120,oft_sh3,25.530559999999998
p12,p12,t54,26.11577186656639
p12,t54,t147,4.187141738820625
p12,t54,t148,21.928630127745766
p12,t148,oft_steel3,21.928630127745766
p12,t147,oft_sh5,4.187141738820625
p13,p13,oft_steel10,0.8580273972922488
p13,p13,oft_sh9,6.3157979635800645
p14,t34,t147,8.16292519639461
p14,p14,t34,8.16292519639461
p14,t147,oft_sh5,8.16292519639461
p15,p15,t162,5.287061080301613
p15,t162,t147,5.287061080301613
p15,t147,oft_steel2,5.287061080301613
p15,p15,oft_steel12,1.1545532070468836
p16,p16,oft_f10,3.9376443432925394
p16,p16,oft_steel6,10.776124747249199
p17,p17,oft_steel3,5.099992775791998
p18,p18,t54,6.507733064784765
p18,t54,t147,6.507733064784765
p18,t147,oft_sh5,6.507733064784765
p19,t80,t69,8.781736051220479
p19,p19,t80,35.470842261759564
p19,p19,oft_f9,10.73903002716147
p19,t80,t147,26.689106210539087
p19,t147,oft_steel2,26.689106210539087
p19,t69,oft_steel7,8.781736051220479
p20,t163,t144,10.277338885028787
p20,t144,oft_sh7,10.277338885028787
p20,t163,t148,11.75760320176795
p20,t148,oft_steel3,11.75760320176795
p20,p20,t163,22.034942086796736
p21,t144,oft_steel4,10.699724353736327
p21,t106,t107,15.431362253426286
p21,t107,oft_steel11,15.431362253426286
p21,t106,t117,1.3591009362198267
p21,t117,oft_sh8,1.3591009362198267
p21,p21,t106,27.49018754338244
p21,t106,t144,10.699724353736327
p22,t144,oft_sh7,5.969381114971213
p22,t84,t144,5.969381114971213
p22,p22,t84,5.969381114971213
p22,p22,oft_f8,0.7566605615742779
p23,p23,oft_sh1,4.232654943600841
p24,t77,t22,49.070632201262235
p24,p24,t77,49.070632201262235
p24,t22,oft_sh1,49.070632201262235
p25,p25,t165,3.2056306347240513
p25,t165,oft_steel4,3.2056306347240513
p26,p26,t77,27.704097649447917
p26,t77,t22,27.704097649447917
p26,t22,oft_sh1,27.704097649447917
p27,p27,oft_f3,9.929880950847345
p27,p27,oft_steel6,0.1772174698444644
p28,p28,oft_steel10,3.849565353935072
p30,p30,oft_steel7,2.0698590681034
p30,p30,oft_f11,3.9376443432925394
p31,p31,oft_steel6,13.736837388388395
p31,p31,oft_f12,3.9376443432925394
p32,p32,oft_steel12,5.660744621686069
p33,p33,t18,13.158050192560372
p33,t18,t93,9.068514245158575
p33,t93,oft_f6,9.068514245158575
p33,t18,t94,4.089535947401798
p33,t94,oft_steel9,4.089535947401798
p34,p34,oft_steel7,13.83858448615818
p35,p35,oft_sh1,2.6168885146031795
p36,p36,t53,35.54092991758384
p36,t22,oft_sh1,35.54092991758384
p36,t53,t22,35.54092991758384
p37,p37,oft_f8,5.209467231293206
p38,p38,oft_sh9,7.029722036419936
p39,p39,oft_f3,0.09853646930548265
p39,p39,oft_f2,12.290223253307015
p40,t54,t147,6.643913106856121
p40,t26,oft_steel10,3.8483601810337076
p40,t147,oft_steel2,6.643913106856121
p40,t54,t26,3.8483601810337076
p40,p40,t54,10.492273287889828
p41,p41,t53,7.268292491195825
p41,t22,oft_sh1,7.268292491195825
p41,t53,t22,7.268292491195825
p42,p42,oft_f7,1.4295153847863906
p42,p42,oft_steel10,6.875409321165258
p43,t163,t148,20.908021092082333
p43,t148,oft_steel3,20.908021092082333
p43,p43,t163,20.908021092082333
p44,t153,t147,2.7680164249646464
p44,t147,oft_steel2,2.7680164249646464
p44,p44,t153,2.7680164249646464
p45,p45,t18,46.09903295753658
p45,t15,oft_f5,9.068514245158575
p45,t18,t15,9.068514245158575
p45,t18,t94,37.030518712378004
p45,t94,oft_steel8,9.732406950650045
p45,t94,oft_steel9,27.29811176172796
p46,p46,t168,6.085772962321659
p46,t168,t147,6.085772962321659
p46,t147,oft_steel2,6.085772962321659
p47,p47,t106,13.437019063780173
p47,t106,t117,13.437019063780173
p47,t117,oft_sh8,13.437019063780173
p48,t87,t148,2.3820615591177514
p48,t87,t147,6.835975726018839
p48,p48,t87,9.21803728513659
p48,t148,oft_steel3,2.3820615591177514
p48,t147,oft_steel2,6.835975726018839
p49,p49,oft_steel3,6.913243741206267
