commodity,from_id,to_id,flow
p0,p0,t162,6.912239967510096
p0,t144,oft_steel4,2.231009875911659
p0,t162,t144,2.231009875911659
p0,t162,t147,4.681230091598437
p0,t147,oft_steel2,4.681230091598437
p3,p3,t167,21.08862500323504
p3,t167,t148,21.08862500323504
p3,t148,oft_steel3,21.08862500323504
p4,t173,oft_steel5,5.670765510101367
p4,p4,t84,5.670765510101367
p4,t84,t173,5.670765510101367
p5,p5,t80,45.95750287215579
p5,t148,oft_steel3,45.95750287215579
p5,t80,t148,45.95750287215579
p7,p7,oft_steel1,34.76224964302064
p8,t15,oft_f5,9.068514245158575
p8,t18,t15,9.068514245158575
p8,t18,t94,36.43352326345116
p8,p8,t18,45.50203750860973
p8,t94,oft_steel8,33.94899695753783
p8,t94,oft_steel9,2.4845263059133273
p9,p9,t163,26.802860518347174
p9,t173,oft_steel5,19.01941409538069
p9,t147,oft_steel2,7.783446422966485
p9,t163,t147,7.783446422966485
p9,t163,t173,19.01941409538069
p11,t49,t93,9.068514245158575
p11,t49,t94,31.464470651624502
p11,t127,oft_f4,9.068514245158575
p11,t93,oft_f6,9.068514245158575
p11,p11,t49,49.60149914194165
p11,t49,t127,9.068514245158575
p11,t94,oft_steel9,31.464470651624502
p13,p13,oft_f7,1.154171100448644
p15,t162,t148,3.261219814228891
p15,p15,t162,3.261219814228891
p15,t148,oft_steel3,3.261219814228891
p16,p16,oft_f11,3.9376443432925394
p16,p16,oft_f10,3.9376443432925394
p17,p17,oft_steel3,6.374990969739997
p19,p19,oft_f9,10.73903002716147
p20,t147,oft_steel2,27.54367760849592
p20,p20,t163,27.54367760849592
p20,t163,t147,27.54367760849592
p22,t84,t147,8.407552095681863
p22,p22,t84,8.407552095681863
p22,t147,oft_steel2,8.407552095681863
p23,t146,t147,5.290818679501052
p23,t147,oft_steel2,5.290818679501052
p23,p23,t146,5.290818679501052
p26,t37,oft_f13,7.15935335144098
p26,p26,t77,34.6301220618099
p26,t147,oft_steel2,27.47076871036892
p26,t77,t147,27.47076871036892
p26,t77,t37,7.15935335144098
p27,p27,oft_f3,0.34364977255774676
p27,p27,oft_f1,12.290223253307015
p28,p28,oft_f7,4.81195669241884
p30,t80,t147,7.509379264244925
p30,t147,oft_steel2,7.509379264244925
p30,p30,t80,7.509379264244925
p31,p31,oft_f2,12.290223253307015
p31,p31,t68,5.865234568001615
p31,t68,t147,5.865234568001615
p31,t147,oft_steel2,5.865234568001615
p31,p31,oft_f12,3.9376443432925394
p34,t148,oft_steel3,17.29823060769772
p34,t80,t148,17.29823060769772
p34,p34,t80,17.29823060769772
p35,p35,t62,3.2711106432539743
p35,t62,t144,3.2711106432539743
p35,t144,oft_steel4,3.2711106432539743
p37,t144,oft_steel4,0.545706246249023
p37,t84,t144,0.545706246249023
p37,p37,oft_f8,5.966127792867484
p37,p37,t84,0.545706246249023
p39,p39,oft_f3,11.946573480749269
p39,p39,oft_steel1,3.539376172516354
p42,p42,t1,10.381155882439561
p42,t1,t147,10.381155882439561
p42,t147,oft_steel2,10.381155882439561
p43,t163,t144,18.6423528400674
p43,t144,oft_steel4,18.6423528400674
p43,t163,t148,7.492673525035517
p43,t148,oft_steel3,7.492673525035517
p43,p43,t163,26.135026365102917
p44,t153,t148,3.460020531205808
p44,t148,oft_steel3,3.460020531205808
p44,p44,t153,3.460020531205808
p49,p49,oft_steel1,8.641554676507834
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,t80,24.690179605482058
pf5,t80,t69,24.690179605482058
pf5,t69,oft_steel7,24.690179605482058
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf44,pf44,oft_ship144,290.12
pf49,pf49,oft_steel1,57.99008283125393
