commodity,from_id,to_id,flow
p5,t93,oft_f6,6.574552382533717
p5,p5,t80,45.95750287215579
p5,t80,t94,39.382950489622075
p5,t80,t93,6.574552382533717
p5,t94,oft_steel8,5.433953532084246
p5,t94,oft_steel9,33.94899695753783
p23,t146,t94,2.953435608802259
p23,t127,oft_f4,2.3373830706987926
p23,t146,t127,2.3373830706987926
p23,p23,t146,5.290818679501052
p23,t94,oft_steel8,2.953435608802259
p26,t15,oft_f5,9.068514245158575
p26,t67,t15,9.068514245158575
p26,t67,t94,25.561607816651325
p26,p26,t67,34.6301220618099
p26,t94,oft_steel8,25.561607816651325
p35,p35,t62,3.2711106432539743
p35,t127,oft_f4,3.2711106432539743
p35,t62,t127,3.2711106432539743
p37,p37,oft_f8,5.966127792867484
p42,p42,t1,2.4939618626248574
p42,p42,oft_f7,5.966127792867484
p42,t1,t93,2.4939618626248574
p42,t93,oft_f6,2.4939618626248574
p44,t127,oft_f4,3.460020531205808
p44,t153,t127,3.460020531205808
p44,p44,t153,3.460020531205808
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,oft_f9,10.73903002716147
pf5,pf5,t80,24.690179605482058
pf5,t80,t69,24.690179605482058
pf5,t69,oft_steel7,24.690179605482058
pf17,pf17,oft_steel3,104.93326332329876
pf17,pf17,oft_steel4,24.690179605482058
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf31,pf31,oft_f10,3.9376443432925394
pf31,pf31,oft_f12,3.9376443432925394
pf31,pf31,oft_f11,3.9376443432925394
pf39,pf39,oft_f3,12.290223253307015
pf39,pf39,oft_f2,12.290223253307015
pf44,t173,oft_steel5,24.690179605482058
pf44,pf44,oft_ship144,290.12
pf44,t153,t37,7.15935335144098
pf44,t153,t173,24.690179605482058
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,31.84953295692304
pf49,pf49,oft_steel1,104.93326332329876
pf49,pf49,oft_steel2,104.93326332329876
pf49,pf49,oft_f1,12.290223253307015
