commodity,from_id,to_id,flow
p0,p0,t162,1.2442031941518172
p0,t162,t94,1.2442031941518172
p0,t94,oft_steel9,1.2442031941518172
p3,t142,oft_f8,1.6726661661707012
p3,p3,t167,3.7959525005823074
p3,t93,oft_f6,2.123286334411606
p3,t167,t142,1.6726661661707012
p3,t167,t93,2.123286334411606
p4,t142,oft_f8,0.9851684268160303
p4,t84,t142,0.9851684268160303
p4,p4,t84,0.9851684268160303
p4,p4,oft_f7,0.03556936500221575
p5,p5,oft_f9,8.272350516988043
p6,t106,t94,5.945167386818815
p6,p6,t106,5.945167386818815
p6,t94,oft_steel9,5.945167386818815
p7,p7,oft_f3,6.257204935743715
p8,t18,t94,8.190366751549751
p8,p8,t18,8.190366751549751
p8,t94,oft_steel8,3.017438198310124
p8,t94,oft_steel9,5.172928553239627
p9,p9,t163,4.824514893302491
p9,t173,oft_steel5,2.8655312818483845
p9,t163,t94,1.9589836114541068
p9,t163,t173,2.8655312818483845
p9,t94,oft_steel9,1.9589836114541068
p11,t49,t94,10.606278788879912
p11,p11,t49,10.606278788879912
p11,t94,oft_steel9,10.606278788879912
p13,p13,oft_f7,1.6141107061962705
p15,t162,t94,1.4493632146534117
p15,p15,t162,1.4493632146534117
p15,t94,oft_steel9,1.4493632146534117
p16,p16,oft_f11,2.585956075728453
p16,p16,oft_f10,0.7246419696434381
p17,p17,oft_steel4,1.1474983745531995
p18,t54,t15,1.4642399395765722
p18,t15,oft_f5,1.4642399395765722
p18,p18,t54,1.4642399395765722
p19,t53,t94,10.397221265007232
p19,p19,t53,10.397221265007232
p19,t94,oft_steel8,10.397221265007232
p20,t163,t94,4.957861969529265
p20,p20,t163,4.957861969529265
p20,t94,oft_steel8,4.957861969529265
p21,t127,oft_f4,1.3735340138899312
p21,t106,t94,4.811758183371118
p21,t106,t127,1.3735340138899312
p21,t94,oft_steel8,4.811758183371118
p21,p21,t106,6.185292197261049
p22,p22,oft_f8,1.5133593772227356
p23,t146,t94,0.9523473623101893
p23,p23,t146,0.9523473623101893
p23,t94,oft_steel9,0.9523473623101893
p26,t127,oft_f4,3.9924988060973376
p26,t67,t127,3.9924988060973376
p26,t93,oft_f6,2.240923165028444
p26,t67,t93,2.240923165028444
p26,p26,t67,6.2334219711257814
p27,p27,oft_f3,2.274097144655657
p28,p28,oft_f7,0.8661522046353912
p30,p30,oft_f11,1.3516882675640864
p31,p31,t68,3.9767583896282104
p31,t68,t94,3.9767583896282104
p31,t94,oft_steel9,3.9767583896282104
p32,t123,t94,1.2736675398793655
p32,t94,oft_steel9,1.2736675398793655
p32,p32,t123,1.2736675398793655
p34,p34,t88,3.1136815093855903
p34,t127,oft_f4,3.1136815093855903
p34,t88,t127,3.1136815093855903
p35,p35,t62,0.5887999157857153
p35,t127,oft_f4,0.5887999157857153
p35,t62,t127,0.5887999157857153
p36,t53,t94,7.996709231456364
p36,p36,t53,7.996709231456364
p36,t94,oft_steel8,7.996709231456364
p37,p37,oft_f8,1.1721301270409712
p38,p38,oft_f7,1.5816874581944855
p39,p39,oft_f2,2.787470937587812
p42,p42,oft_f7,1.8686080588391212
p43,t163,t93,4.704304745718525
p43,t93,oft_f6,4.704304745718525
p43,p43,t163,4.704304745718525
p44,t142,oft_f8,0.6228036956170454
p44,t153,t142,0.6228036956170454
p44,p44,t153,0.6228036956170454
p45,p45,t18,10.37228241544573
p45,t15,oft_f5,7.604274305582003
p45,t18,t15,7.604274305582003
p45,t18,t94,2.768008109863727
p45,t94,oft_steel8,2.768008109863727
p46,p46,t168,1.3692989165223732
p46,t168,t94,1.3692989165223732
p46,t94,oft_steel9,1.3692989165223732
p49,p49,oft_steel2,1.55547984177141
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,oft_f9,2.4666795101734262
pf17,pf17,oft_steel3,104.93326332329876
pf17,pf17,oft_steel4,23.54268123092886
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf31,pf31,oft_steel7,24.690179605482058
pf31,pf31,oft_f10,3.2130023736491014
pf31,pf31,oft_f12,3.9376443432925394
pf39,pf39,oft_f3,3.758921172907643
pf39,pf39,oft_f2,9.502752315719203
pf44,t173,oft_steel5,21.824648323633674
pf44,pf44,oft_ship144,290.12
pf44,t153,t37,7.15935335144098
pf44,t153,t173,21.824648323633674
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,28.984001675074655
pf49,pf49,oft_steel1,104.93326332329876
pf49,pf49,oft_steel2,103.37778348152735
pf49,pf49,oft_f1,12.290223253307015
