commodity,from_id,to_id,flow
p0,p0,oft_f3,7.4117643561272235
p0,p0,oft_f1,8.914910912169743
p1,p1,t25,1.852225533910082
p1,t25,oft_steel10,1.852225533910082
p2,p2,t77,80.47751199267942
p2,t77,t22,80.47751199267942
p2,t22,oft_sh1,80.47751199267942
p3,t163,t144,10.199686669846958
p3,t173,oft_steel5,16.52082070218995
p3,t144,oft_sh7,10.199686669846958
p3,p3,t163,26.72050737203691
p3,t163,t173,16.52082070218995
p4,p4,oft_f8,1.446476715238788
p5,p5,t106,13.510426666023456
p5,t106,t107,12.306257504227384
p5,t107,oft_steel11,12.306257504227384
p5,t26,oft_steel10,1.204169161796072
p5,t106,t26,1.204169161796072
p7,p7,oft_sh10,12.18504
p7,t18,t22,7.5666283850127165
p7,t127,oft_f4,9.068514245158575
p7,t15,oft_f5,9.068514245158575
p7,p7,t18,104.63121517221222
p7,t18,t93,11.029564381806697
p7,t93,oft_f6,9.068514245158575
p7,t93,oft_sh6,1.9610501366481223
p7,t18,t15,9.068514245158575
p7,t18,t94,67.89799391507566
p7,t22,oft_sh1,7.5666283850127165
p7,t94,oft_steel8,33.94899695753783
p7,t94,oft_steel9,33.94899695753783
p7,t18,t127,9.068514245158575
p8,p8,oft_f10,3.9376443432925394
p8,p8,oft_steel6,21.085526078284936
p10,t54,t147,6.321466426627093
p10,t54,t148,81.66600980791758
p10,t148,oft_steel3,81.66600980791758
p10,t26,oft_steel10,2.3088688658443077
p10,t147,oft_steel2,6.321466426627093
p10,t54,t26,2.3088688658443077
p10,p10,t54,90.29634510038898
p11,p11,t77,18.185233408936497
p11,t77,t22,18.185233408936497
p11,t22,oft_sh1,18.185233408936497
p13,p13,oft_f8,1.1705057101162237
p14,p14,oft_steel12,0.9504923186091273
p15,t87,t148,1.9913077149915903
p15,p15,t87,16.78742771499159
p15,t87,t117,14.79612
p15,t148,oft_steel3,1.9913077149915903
p15,t117,oft_sh8,14.79612
p16,p16,oft_sh1,2.5581394797443635
p17,p17,oft_steel11,1.7770165159540185
p18,p18,t77,20.857746207219865
p18,t77,t22,20.857746207219865
p18,t22,oft_sh1,20.857746207219865
p19,t166,t144,12.065737460737473
p19,t166,t173,6.520610795237737
p19,t173,oft_steel5,6.520610795237737
p19,t144,oft_steel4,12.065737460737473
p19,p19,t166,18.58634825597521
p20,p20,oft_steel10,2.9592421125676793
p21,p21,oft_f11,3.9376443432925394
p21,p21,oft_steel7,24.690179605482058
p21,p21,oft_sh4,9.139300467535506
p22,t144,oft_sh7,6.047033330153043
p22,t84,t144,6.047033330153043
p22,p22,t84,6.047033330153043
p22,p22,oft_f8,2.5067855424726995
p23,p23,t54,5.700766713921425
p23,t54,t148,5.700766713921425
p23,t148,oft_steel3,5.700766713921425
p24,p24,oft_steel12,10.623360584121396
p25,t23,oft_steel10,7.106856579308145
p25,t23,oft_f7,5.966127792867484
p25,p25,t23,13.072984372175629
p28,t18,t120,25.530559999999998
p28,t18,t93,14.865909863351877
p28,t93,oft_sh6,14.865909863351877
p28,p28,t18,40.396469863351875
p28,t120,oft_sh3,25.530559999999998
p29,t173,oft_steel5,1.6487481080543684
p29,t110,t173,1.6487481080543684
p29,p29,t110,1.6487481080543684
p30,t133,t22,0.7483410323879652
p30,t22,oft_sh1,0.7483410323879652
p30,p30,t133,0.7483410323879652
p32,p32,t153,2.891120777713421
p32,t153,t22,2.891120777713421
p32,t22,oft_sh1,2.891120777713421
p33,t107,oft_steel11,1.3480882332448827
p33,p33,t103,1.3480882332448827
p33,t103,t107,1.3480882332448827
p34,p34,oft_sh9,3.4591239010394412
p35,t87,t147,8.151170272813966
p35,t147,oft_sh5,8.151170272813966
p35,p35,t87,8.151170272813966
p37,p37,oft_f3,4.878458897179792
p37,p37,oft_f12,1.8707533167524644
p37,p37,oft_f2,12.290223253307015
p38,p38,oft_f8,0.8423598250397727
p39,p39,oft_steel3,2.535579076358477
p40,p40,oft_steel6,3.6046535271971223
p40,p40,oft_f12,2.066891026540075
p41,t144,oft_steel4,5.209586808824807
p41,p41,t106,5.209586808824807
p41,t106,t144,5.209586808824807
p42,t163,t144,5.942711849153687
p42,p42,t163,5.942711849153687
p42,t144,oft_steel4,5.942711849153687
p43,p43,t53,5.689345031615395
p43,t22,oft_sh1,5.689345031615395
p43,t53,t22,5.689345031615395
p45,t106,t147,3.1494376298107927
p45,t106,t22,3.1847336846903573
p45,p45,t106,7.80631480126724
p45,t144,oft_steel4,1.4721434867660896
p45,p45,oft_steel12,0.7712369000105052
p45,t147,oft_steel2,3.1494376298107927
p45,t22,oft_sh1,3.1847336846903573
p45,t106,t144,1.4721434867660896
p47,t147,oft_sh2,10.73444
p47,p47,oft_f9,10.73903002716147
p47,p47,t80,34.48066973729573
p47,t80,t147,21.441069727186033
p47,t148,oft_steel3,13.039600010109694
p47,t80,t148,13.039600010109694
p47,p47,oft_sh4,4.665945207406676
p47,t147,oft_sh5,10.706629727186035
p49,p49,oft_sh4,5.632794325057819
