commodity,from_id,to_id,flow
p0,p0,oft_steel1,16.37332291192067
p1,p1,t25,1.8575176068641106
p1,t25,oft_steel10,1.8575176068641106
p2,p2,oft_ship74,80.70744774122994
p3,t163,t144,11.500323235344
p3,t173,oft_steel5,1.8325588371483483
p3,t144,oft_steel4,11.500323235344
p3,p3,t163,26.79685167881416
p3,t147,oft_steel2,13.463969606321813
p3,t163,t147,13.463969606321813
p3,t163,t173,1.8325588371483483
p4,t142,t147,1.4506095058537563
p4,p4,t142,1.4506095058537563
p4,t147,oft_steel2,1.4506095058537563
p5,p5,oft_ship99,13.549027885069236
p7,t127,oft_f4,9.068514245158575
p7,t15,oft_f5,9.068514245158575
p7,p7,t18,60.404060543390194
p7,t18,t93,8.318035095535215
p7,t93,oft_f6,8.318035095535215
p7,t18,t15,9.068514245158575
p7,t18,t94,33.94899695753783
p7,p7,oft_ship18,56.745955357885485
p7,t94,oft_steel8,16.974498478768915
p7,t94,oft_steel9,16.974498478768915
p7,t18,t127,9.068514245158575
p8,t68,t147,12.749575391469524
p8,t147,oft_steel2,12.749575391469524
p8,p8,oft_steel6,12.345089802741029
p8,p8,t68,12.749575391469524
p10,p10,oft_ship52,90.55433465781866
p11,p11,oft_ship74,18.23719121867632
p13,p13,oft_steel11,1.173850012145127
p14,p14,oft_steel12,0.9532080109480102
p15,p15,t87,16.83539179417728
p15,t87,t147,16.83539179417728
p15,t147,oft_steel2,8.08911431517146
p15,t147,oft_steel1,8.746277479005819
p16,p16,oft_steel1,2.5654484496864898
p17,p17,oft_steel11,1.7820937059996014
p18,p18,oft_ship74,20.91733976781192
p19,t166,t148,15.815609035195244
p19,t166,t147,2.82384307293989
p19,p19,t166,18.639452108135135
p19,t148,oft_steel3,15.815609035195244
p19,t147,oft_steel2,2.82384307293989
p20,p20,oft_steel10,2.9676970900321584
p21,p21,t70,25.52994068332996
p21,p21,oft_steel7,12.345089802741029
p21,t148,oft_steel3,25.52994068332996
p21,t70,t148,25.52994068332996
p22,t84,t148,8.578258355118958
p22,p22,t84,8.578258355118958
p22,t148,oft_steel3,8.578258355118958
p23,p23,oft_ship52,5.717054618818343
p24,p24,oft_steel12,5.219336890422504
p24,p24,oft_ship153,5.4343761525106675
p25,t23,oft_steel10,2.890466429816874
p25,t1,t147,5.7150604391566455
p25,t1,t107,4.504808887122608
p25,t107,oft_steel11,4.504808887122608
p25,p25,t1,10.219869326279253
p25,t147,oft_steel2,5.7150604391566455
p25,p25,t23,2.890466429816874
p28,p28,oft_ship18,40.51188834867574
p29,t173,oft_steel5,1.653458816934524
p29,t110,t173,1.653458816934524
p29,p29,t110,1.653458816934524
p30,t93,oft_f6,0.7504791496233593
p30,t133,t93,0.7504791496233593
p30,p30,t133,0.7504791496233593
p32,t173,oft_steel5,2.8993811227926023
p32,p32,t153,2.8993811227926023
p32,t153,t173,2.8993811227926023
p33,p33,oft_ship96,1.0970113924654896
p33,t107,oft_steel11,0.25492852144580713
p33,p33,t103,0.25492852144580713
p33,t103,t107,0.25492852144580713
p34,p34,oft_ship69,3.4690071121852677
p35,t87,t147,8.174459330736292
p35,t147,oft_steel2,8.174459330736292
p35,p35,t87,8.174459330736292
p37,p37,oft_steel1,19.093833854288526
p38,t144,oft_steel4,0.8447665673970287
p38,p38,t142,0.8447665673970287
p38,t142,t144,0.8447665673970287
p39,p39,oft_steel3,2.5428235880052155
p40,p40,oft_steel1,5.687748966747875
p41,p41,oft_ship99,5.224471342564306
p42,t173,oft_steel5,5.959691025865554
p42,p42,t163,5.959691025865554
p42,t163,t173,5.959691025865554
p43,p43,oft_ship51,5.705600303134296
p45,p45,oft_ship99,8.602058991852825
p47,p47,oft_ship51,50.0281753860692
p49,p49,oft_ship81,5.6488880231294125
pf0,pf0,oft_f3,12.290223253307015
pf4,pf4,oft_f8,5.966127792867484
pf8,pf8,oft_f11,3.9376443432925394
pf16,pf16,oft_f2,12.290223253307015
pf17,pf17,oft_steel11,7.715681126713143
pf20,pf20,oft_f7,5.966127792867484
pf20,pf20,oft_steel10,7.715681126713143
pf24,pf24,oft_steel12,6.1725449013705145
pf29,pf29,oft_f13,7.15935335144098
pf30,t133,t94,33.94899695753783
pf30,pf30,t133,33.94899695753783
pf30,t94,oft_steel8,16.974498478768915
pf30,t94,oft_steel9,16.974498478768915
pf32,t173,oft_steel5,12.345089802741029
pf32,t153,t173,12.345089802741029
pf32,pf32,t153,12.345089802741029
pf33,pf33,oft_ship96,226.13017170010286
pf37,pf37,oft_steel7,12.345089802741029
pf37,pf37,oft_steel6,12.345089802741029
pf37,pf37,oft_f12,3.9376443432925394
pf39,pf39,oft_steel2,52.46663166164938
pf39,pf39,oft_steel3,52.46663166164938
pf39,pf39,oft_steel4,12.345089802741029
pf39,pf39,oft_f1,12.290223253307015
pf39,pf39,oft_steel1,52.46663166164938
pf40,pf40,oft_f10,3.9376443432925394
pf47,pf47,oft_f9,10.73903002716147
