commodity,from_id,to_id,flow
p0,p0,oft_steel12,4.852392457192087
p2,p2,oft_ship74,30.134273840922614
p3,p3,t167,14.804214752271
p3,t167,t148,14.804214752271
p3,t148,oft_steel3,14.804214752271
p4,t84,t147,3.9808773880911597
p4,p4,t84,3.9808773880911597
p4,t147,oft_steel2,3.9808773880911597
p5,p5,oft_ship71,32.262167016253365
p6,p6,oft_ship99,23.186152808593377
p7,p7,oft_steel1,24.403099249400487
p8,p8,oft_ship18,31.94243033104403
p9,p9,t163,18.815608083879717
p9,t147,oft_steel2,18.815608083879717
p9,t163,t147,18.815608083879717
p10,t87,t148,8.481924716727086
p10,p10,t87,8.481924716727086
p10,p10,oft_ship80,1.3018746686555431
p10,t148,oft_steel3,8.481924716727086
p11,t49,t93,9.068514245158575
p11,t49,t94,11.634124027616636
p11,p11,oft_ship47,20.661849003856446
p11,t93,oft_f6,9.068514245158575
p11,p11,t49,20.70263827277521
p11,t94,oft_steel9,11.634124027616636
p12,p12,oft_ship52,22.916589812912008
p13,p13,oft_ship22,6.295031754165455
p14,p14,oft_ship33,7.162966859836271
p15,p15,oft_ship153,5.652516537148306
p16,p16,oft_steel7,0.5662425742093475
p16,p16,oft_steel6,12.345089802741029
p17,p17,oft_steel3,4.475243660757478
p18,p18,oft_ship52,5.710535764348632
p19,p19,oft_ship51,40.5491629335282
p20,t163,t144,7.828523410205484
p20,t144,oft_steel4,7.828523410205484
p20,t147,oft_steel2,11.507138270958649
p20,p20,t163,19.335661681164133
p20,t163,t147,11.507138270958649
p21,p21,oft_ship99,22.80915949638811
p21,t106,t107,1.3134800729299791
p21,t107,oft_steel11,1.3134800729299791
p21,p21,t106,1.3134800729299791
p22,t84,t148,5.902101571168669
p22,p22,t84,5.902101571168669
p22,t148,oft_steel3,5.902101571168669
p23,t146,t147,3.7141547130097385
p23,t147,oft_steel2,3.7141547130097385
p23,p23,t146,3.7141547130097385
p24,p24,oft_ship74,43.059479756607615
p25,p25,t165,2.812940881970355
p25,t165,oft_steel4,2.812940881970355
p26,p26,oft_ship74,24.310345687390548
p27,t63,oft_steel3,8.868978864157063
p27,p27,t63,8.868978864157063
p28,p28,oft_steel10,1.5471000397546497
p28,p28,oft_steel11,1.830893558323376
p30,p30,oft_steel7,5.271584243499937
p31,p31,t68,4.383333346802094
p31,t68,t147,4.383333346802094
p31,t147,oft_steel2,4.383333346802094
p31,p31,oft_steel1,11.126024372747928
p32,p32,oft_steel12,1.3201524441784276
p32,p32,oft_ship114,3.647150961351098
p33,p33,oft_ship18,11.546189043971726
p34,p34,t70,5.636094901572058
p34,p34,oft_steel7,6.507262985031744
p34,t148,oft_steel3,5.636094901572058
p34,t70,t148,5.636094901572058
p35,p35,t62,2.29631967156429
p35,t147,oft_steel2,2.29631967156429
p35,t62,t147,2.29631967156429
p36,p36,oft_ship51,31.18716600267982
p37,p37,oft_steel11,4.571307495459788
p38,p38,oft_steel10,6.168581086958493
p39,p39,oft_steel1,10.871136656592467
p40,p40,oft_ship52,9.206969810123324
p41,p41,oft_ship51,6.377926661024337
p42,p42,oft_ship1,7.287571429472573
p43,t163,t144,1.7036255105651898
p43,t173,oft_steel5,12.345089802741029
p43,t144,oft_steel4,1.7036255105651898
p43,t163,t148,4.298073194996028
p43,t148,oft_steel3,4.298073194996028
p43,t163,t173,12.345089802741029
p43,p43,t163,18.346788508302247
p44,t153,t147,2.428934412906477
p44,t147,oft_steel2,2.428934412906477
p44,p44,t153,2.428934412906477
p45,p45,t18,40.45190142023834
p45,t127,oft_f4,9.068514245158575
p45,t15,oft_f5,9.068514245158575
p45,t18,t15,9.068514245158575
p45,t18,t94,22.314872929921194
p45,t94,oft_steel8,16.974498478768915
p45,t94,oft_steel9,5.340374451152279
p45,t18,t127,9.068514245158575
p46,p46,t168,5.340265774437255
p46,t168,t147,5.340265774437255
p46,t147,oft_steel2,5.340265774437255
p47,p47,oft_ship99,11.790984228467101
p48,p48,oft_ship80,8.088827717707359
p49,p49,oft_steel1,6.066371382908499
pf0,pf0,oft_steel12,6.1725449013705145
pf5,pf5,oft_f9,10.73903002716147
pf17,pf17,oft_steel3,52.46663166164938
pf17,pf17,oft_steel4,12.345089802741029
pf26,t67,t94,33.94899695753783
pf26,pf26,t67,33.94899695753783
pf26,t94,oft_steel8,16.974498478768915
pf26,t94,oft_steel9,16.974498478768915
pf28,pf28,oft_steel11,7.715681126713143
pf28,pf28,oft_f7,5.966127792867484
pf28,pf28,oft_steel10,7.715681126713143
pf31,pf31,oft_steel6,12.345089802741029
pf31,pf31,oft_steel7,12.345089802741029
pf31,pf31,oft_f10,3.9376443432925394
pf31,pf31,oft_f12,3.9376443432925394
pf31,pf31,oft_f11,3.9376443432925394
pf37,pf37,oft_f8,5.966127792867484
pf39,pf39,oft_f3,12.290223253307015
pf39,pf39,oft_f2,12.290223253307015
pf44,t173,oft_steel5,12.345089802741029
pf44,pf44,oft_ship144,231.19267787355213
pf44,t153,t37,7.15935335144098
pf44,t153,t173,12.345089802741029
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,19.50444315418201
pf49,pf49,oft_steel1,52.46663166164938
pf49,pf49,oft_steel2,52.46663166164938
pf49,pf49,oft_f1,12.290223253307015
