commodity,from_id,to_id,flow
p0,p0,oft_steel1,2.292059911199628
p1,t123,t107,1.5409129960752972
p1,p1,t123,1.5409129960752972
p1,t107,oft_steel11,1.5409129960752972
p3,p3,oft_steel10,1.549950054354362
p4,p4,t163,6.093172476266842
p4,t147,oft_steel2,6.093172476266842
p4,t163,t147,6.093172476266842
p5,p5,oft_steel8,0.27856904312718334
p6,p6,t80,5.292965253664957
p6,t148,oft_steel3,5.292965253664957
p6,t80,t148,5.292965253664957
p7,p7,oft_steel1,6.373821299064502
p8,p8,t142,0.27536038708000254
p8,t144,oft_steel4,0.27536038708000254
p8,t142,t144,0.27536038708000254
p9,t77,t148,13.04017368896805
p9,p9,t77,13.04017368896805
p9,t148,oft_steel3,13.04017368896805
p10,p10,oft_steel6,0.8932335814752542
p12,p12,oft_steel11,0.3872551886664683
p13,t144,oft_steel4,1.0170077396185702
p13,p13,t106,1.0170077396185702
p13,t106,t144,1.0170077396185702
p14,t87,t147,4.89001300658776
p14,p14,t87,4.89001300658776
p14,t147,oft_steel1,4.89001300658776
p15,p15,oft_steel5,0.07205520016370379
p16,p16,oft_steel10,0.6334697680450422
p17,t173,oft_steel5,3.195386293371838
p17,p17,t167,3.195386293371838
p17,t167,t173,3.195386293371838
p18,t72,t147,1.24310372132201
p18,p18,t72,1.24310372132201
p18,t147,oft_steel1,1.24310372132201
p19,p19,oft_steel1,2.189226162628783
p20,t162,t26,0.7215077961763801
p20,p20,t162,0.9288331191792496
p20,p20,oft_steel12,1.3864660974604863
p20,t144,oft_steel4,0.20732532300286954
p20,t162,t144,0.20732532300286954
p20,t26,oft_steel10,0.7215077961763801
p21,p21,oft_steel8,0.061705497429071
p22,p22,t53,2.555591749064858
p22,t53,t147,2.555591749064858
p22,t147,oft_steel2,2.555591749064858
p23,t88,t94,0.3865403802654351
p23,p23,t88,0.3865403802654351
p23,t94,oft_steel8,0.3865403802654351
p24,p24,oft_steel10,1.5258760634508828
p25,t68,oft_steel6,2.851160631274524
p25,p25,t68,6.837242905356574
p25,t148,oft_steel3,3.9860822740820505
p25,t68,t148,3.9860822740820505
p26,p26,oft_steel11,0.47155572269988705
p27,p27,t106,6.079173631780634
p27,t106,t107,3.9811158044545127
p27,t107,oft_steel11,3.9811158044545127
p27,t106,t148,2.0980578273261212
p27,t148,oft_steel3,2.0980578273261212
p28,p28,oft_steel1,1.3351398954113947
p29,t147,oft_steel2,8.360430541240856
p29,t18,t94,16.913151094340652
p29,t18,t147,8.360430541240856
p29,p29,t18,25.273581635581507
p29,t94,oft_steel9,16.913151094340652
p31,t80,t147,11.631893983458182
p31,t147,oft_steel2,11.631893983458182
p31,p31,t80,11.631893983458182
p32,p32,oft_steel4,0.6296663275414408
p33,p33,oft_steel1,0.6321897559888241
p35,t74,t94,1.195142931315471
p35,t94,oft_steel8,1.195142931315471
p35,p35,t74,1.195142931315471
p36,p36,oft_steel12,0.26720830366941023
p38,t84,t147,4.48197064955777
p38,t147,oft_steel2,4.48197064955777
p38,p38,t84,4.48197064955777
p39,p39,oft_steel6,2.305365831612886
p40,p40,oft_steel7,1.8369957940161505
p41,t163,t148,6.988065925278862
p41,t148,oft_steel3,6.988065925278862
p41,p41,t163,6.988065925278862
p42,t85,t144,0.16797049131380112
p42,t144,oft_steel4,0.16797049131380112
p42,p42,t85,0.16797049131380112
p43,t148,oft_steel3,0.11693328502995658
p43,p43,t168,0.11693328502995658
p43,t168,t148,0.11693328502995658
p44,p44,t103,0.18312864255010347
p44,t107,oft_steel11,0.18312864255010347
p44,t103,t107,0.18312864255010347
p45,t11,t94,0.5384292466128988
p45,p45,t11,0.5384292466128988
p45,t94,oft_steel8,0.5384292466128988
p46,p46,oft_steel12,1.0290492008614254
p47,t72,t147,0.2546467840751775
p47,p47,t72,0.2546467840751775
p47,t147,oft_steel1,0.2546467840751775
p48,p48,oft_steel10,0.8471853183867053
p49,t124,t144,0.4334088803908272
p49,t144,oft_steel4,0.4334088803908272
p49,p49,t124,0.4334088803908272
p50,p50,t54,1.1755912968779385
p50,t54,t147,1.1755912968779385
p50,t147,oft_steel1,1.1755912968779385
p51,p51,oft_steel8,0.08630426971650733
p52,p52,t78,2.2484722821018313
p52,t78,t147,2.2484722821018313
p52,t147,oft_steel1,2.2484722821018313
p53,t144,oft_steel4,3.0745472665573277
p53,p53,t106,3.0745472665573277
p53,t106,t144,3.0745472665573277
p54,p54,oft_steel6,5.425399206692473
p55,t173,oft_steel5,3.824119817184611
p55,p55,t77,14.378173410562088
p55,t147,oft_steel2,10.554053593377477
p55,t77,t147,10.554053593377477
p55,t77,t173,3.824119817184611
p56,p56,oft_steel12,2.109284723005564
p57,p57,oft_steel1,0.9293213484582268
p58,p58,oft_steel11,0.25837269500954824
p59,p59,t80,11.329137721332136
p59,t80,t147,0.4044053994027692
p59,t148,oft_steel3,10.924732321929367
p59,t80,t148,10.924732321929367
p59,t147,oft_steel1,0.4044053994027692
p60,p60,oft_steel6,0.7951475940587626
p61,p61,t72,0.6401494279578053
p61,t72,t147,0.6401494279578053
