scenario_id,track,cap_factor,cost_factor,co2_tax_region_name,co2_tax_region,co2_tax_shipping,fossil_price_factor,demand_factor_Steel,demand_factor_Fertiliser,demand_factor_Shipping,min_coverage_steel,min_coverage_fertiliser,min_coverage_shipping
P1-S4,production,medium,high,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P1-S5,production,medium,medium,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P1-S6,production,medium,low,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P1-S7,production,high,high,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P1-S8,production,high,medium,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P1-S9,production,high,low,none,0,100,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S4,production,medium,high,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S5,production,medium,medium,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S6,production,medium,low,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S7,production,high,high,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S8,production,high,medium,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P3-S9,production,high,low,none,0,300,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S4,production,medium,high,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S5,production,medium,medium,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S6,production,medium,low,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S7,production,high,high,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S8,production,high,medium,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
P5-S9,production,high,low,none,0,500,1.0,1.0,1.0,1.0,0.5,0.0,0.0
