id,name,lat,lon,type,industry,region
ps1,Chile Ammonia Production,-23.0500,-70.3000,production,,S Latin America
ps2,Brazil Ammonia Production,-21.8766,-41.0159,production,,S Latin America
ps3,USA Ammonia Production,29.7200,-95.1000,production,,Gulf of Mexico
ps4,Colombia Ammonia Production,11.0378,-74.8220,production,,N Latin America
ps5,Finland Ammonia Production,60.4500,22.2500,production,,Nordics
ps6,Spain Ammonia Production,37.2400,-6.8800,production,,Mediterranean
ps7,Namibia Ammonia Production,-22.7133,14.6189,production,,West Africa
ps8,Egypt Ammonia Production,29.5972,32.3422,production,,Red Sea
ps9,India Ammonia Production,23.0333,70.2167,production,,Middle East & India
ps10,China Ammonia Production,32.0500,119.1000,production,,China & Hong Kong
t1,Mejillones (Chile),-23.0982,-70.4496,transit,,S Latin America
t2,Açu (Brazil),-21.8395,-41.0396,transit,,S Latin America
t3,Houston (USA),29.6115,-95.0132,transit,,Gulf of Mexico
t4,Barranquilla (Colombia),10.9671,-74.7649,transit,,N Latin America
t5,Mariehamn (Finland),60.0973,19.9348,transit,,Nordics
t6,Huelva (Spain),37.2614,-6.9447,transit,,Mediterranean
t7,Walvis Bay (Namibia),-22.9576,14.5053,transit,,West Africa
t8,Ein El Sokhna (Egypt),29.6571,32.3528,transit,,Red Sea
t9,Kandla (India),22.9999,70.2236,transit,,Middle East & India
t11,Rotterdam (Netherlands),51.9244,4.4777,transit,,Western Europe
t12,Ulsan (South Korea),35.5184,129.3731,transit,,Japan & South Korea
t13,Shanghai (China),30.6258,122.0631,transit,,China & Hong Kong
t14,Turku (Finland),60.4383,22.2127,transit,,Nordics
t15,Valparaíso (Chile),-33.0458,-71.6197,transit,,S Latin America
t16,Cristobal (Panama),9.3773,-79.8872,transit,,Panama
t17,Mobile (USA),30.6944,-88.0431,transit,,Gulf of Mexico
t18,Savannah (USA),32.0809,-81.0912,transit,,NA East Coast
t19,Paradip (India),20.2649,86.6700,transit,,Middle East & India
t21,Richards Bay (South Africa),-28.7807,32.0383,transit,,East Africa
