from_id,to_id,mode,distance_km
t1,t2,ship,7860.082081429637
t1,t3,ship,7033.1773910561005
t1,t4,ship,4858.556961554637
t1,t5,ship,14721.343236478513
t1,t6,ship,12245.888612489784
t1,t7,ship,11955.218494494762
t1,t8,ship,15958.223943677374
t1,t9,ship,19866.95076895768
t1,t10,ship,18814.432557108637
t1,t11,ship,13186.715975054878
t1,t12,ship,18014.837884092016
t1,t13,ship,18869.189208092303
t1,t14,ship,14823.414082065483
t1,t15,ship,1047.522549319067
t1,t16,ship,4234.933384578293
t1,t17,ship,6791.621294380499
t1,t18,ship,7063.1104655064755
t1,t19,ship,19598.087880341267
t1,t20,ship,17618.63797661125
t1,t21,ship,12613.408627691277
t1,t22,ship,15426.94947264194
t1,t23,ship,20057.230590274765
t2,t3,ship,9845.516622115043
t2,t4,ship,7323.193756339626
t2,t5,ship,11398.630539740449
t2,t6,ship,7716.807543669883
t2,t7,ship,6084.237955063219
t2,t8,ship,11367.512492649525
t2,t9,ship,14718.57235007276
t2,t10,ship,20319.740313744966
t2,t11,ship,9609.039986055219
t2,t12,ship,20775.065002050123
t2,t13,ship,20084.730842778972
t2,t14,ship,11500.701385327418
t2,t15,ship,6812.5595321105675
t2,t16,ship,7946.81733331597
t2,t17,ship,9344.992866316094
t2,t18,ship,8749.823610176903
t2,t19,ship,14449.709461456352
t2,t20,ship,13027.92652558339
t2,t21,ship,7465.030208806357
t2,t22,ship,12104.236775903875
t2,t23,ship,16265.788704411516
t3,t4,ship,3299.4149418643347
t3,t5,ship,10536.820202462923
t3,t6,ship,8685.50677138025
t3,t7,ship,13436.109258315548
t3,t8,ship,12452.349650998742
t3,t9,ship,17893.85266755568
t3,t10,ship,18796.898428201068
t3,t11,ship,9289.418370325806
t3,t12,ship,17997.303755184446
t3,t13,ship,18851.655079184733
t3,t14,ship,10638.891048049893
t3,t15,ship,7765.636557897009
t3,t16,ship,2798.244006477809
t3,t17,ship,875.4341060888004
t3,t18,ship,2417.175138570784
t3,t19,ship,18594.993722243435
t3,t20,ship,14112.763683932608
t3,t21,ship,15500.147555011608
t3,t22,ship,11242.42643862635
t3,t23,ship,21734.37551610216
t4,t5,ship,10187.322507165905
t4,t6,ship,7463.337638978228
t4,t7,ship,10913.786392540133
t4,t8,ship,11158.901511013994
t4,t9,ship,16600.404527570932
t4,t10,ship,16622.277998699603
t4,t11,ship,8574.436264052112
t4,t12,ship,15822.683325682981
t4,t13,ship,16677.034649683268
t4,t14,ship,10289.393352752875
t4,t15,ship,5591.016128395545
t4,t16,ship,623.6235769763446
t4,t17,ship,3057.858845188734
t4,t18,ship,3329.348016314706
t4,t19,ship,17301.545582258692
t4,t20,ship,12819.31554394786
t4,t21,ship,12977.824689236193
t4,t22,ship,10892.928743329332
t4,t23,ship,20440.92737611742
t5,t6,ship,4263.756800990676
t5,t7,ship,12082.443483093823
t5,t8,ship,8041.750955776081
t5,t9,ship,13483.25397233302
t5,t10,ship,21660.823682312097
t5,t11,ship,1914.850772546809
t5,t12,ship,22116.148370617255
t5,t13,ship,21425.814211346104
t5,t14,ship,141.3209783662657
t5,t15,ship,15453.80240331942
t5,t16,ship,10486.409851900227
t5,t17,ship,10036.296446663979
t5,t18,ship,8562.326381160361
t5,t19,ship,14184.39502702078
t5,t20,ship,9702.164988709947
