node_id,demand_percent,industry
oft_f1,0.103,fertiliser
oft_f2,0.103,fertiliser
oft_f3,0.103,fertiliser
oft_f4,0.076,fertiliser
oft_f5,0.076,fertiliser
oft_f6,0.076,fertiliser
oft_f7,0.05,fertiliser
oft_f8,0.05,fertiliser
oft_f9,0.09,fertiliser
oft_f10,0.033,fertiliser
oft_f11,0.033,fertiliser
oft_f12,0.033,fertiliser
oft_f13,0.06,fertiliser
oft_steel1,0.17,steel
oft_steel2,0.17,steel
oft_steel3,0.17,steel
oft_steel4,0.04,steel
oft_steel5,0.04,steel
oft_steel6,0.04,steel
oft_steel7,0.04,steel
oft_steel8,0.055,steel
oft_steel9,0.055,steel
oft_steel10,0.025,steel
oft_steel11,0.025,steel
oft_steel12,0.02,steel
oft_sh1,0.49,shipping
oft_sh2,0.037,shipping
oft_sh3,0.088,shipping
oft_sh4,0.067,shipping
oft_sh5,0.065,shipping
oft_sh6,0.058,shipping
oft_sh7,0.056,shipping
oft_sh8,0.051,shipping
oft_sh9,0.046,shipping
oft_sh10,0.042,shipping
