Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,capacity_share_percent
20_24_1000000.0,194.92,20,24,1000000,1563.150862308,0.267440878,7.53549122697922
-19_128_1000000.0,201.36,-19,128,1000000,526.786894304,0.277590932,2.5394849059253892
-28_-69_1000000.0,186.8,-28,-69,1000000,535.279853858,0.245292451,2.5804269696464566
23_-103_1000000.0,204.35,23,-103,1000000,153.852183051,0.273668726,0.7416761897956688
35_67_1000000.0,206.43,35,67,1000000,963.108768633,0.264478298,4.6428645191322095
-19_13_1000000.0,200.0,-19,13,1000000,269.755500681,0.272777215,1.3004120445608887
20_-12_1000000.0,196.72,20,-12,1000000,1162.374970699,0.273445591,5.603468357001535
-6_35_1000000.0,205.94,-6,35,1000000,161.686936263,0.277023264,0.7794452340499146
-14_-47_1000000.0,215.38,-14,-47,1000000,155.679529634,0.296309685,0.7504852910007282
18_24_1000000.0,194.62,18,24,1000000,736.290656607,0.267622076,3.5494410150385027
18_26_1000000.0,194.14,18,26,1000000,1341.049646854,0.269575651,6.464806495958506
30_90_1000000.0,197.37,30,90,1000000,546.344942227,0.262205919,2.6337685109787103
20_9_1000000.0,195.6,20,9,1000000,2134.606759835,0.271836643,10.290312278647976
-21_15_1000000.0,200.78,-21,15,1000000,489.542630394,0.272815899,2.359941247845761
12_-72_1000000.0,202.15,12,-72,1000000,53.895327915,0.310299224,0.25981354741346024
17_46_1000000.0,197.97,17,46,1000000,1253.443698915,0.278458181,6.042483949847497
27_-114_1000000.0,209.95,27,-114,1000000,398.433454282,0.271766109,1.9207306675722846
-20_124_1000000.0,201.2,-20,124,1000000,530.383695167,0.279250759,2.556824026545077
17_25_1000000.0,193.74,17,25,1000000,517.558023596,0.268090798,2.494995230659895
3_36_1000000.0,199.73,3,36,1000000,438.950082397,0.279525703,2.1160494324268595
30_85_1000000.0,195.38,30,85,1000000,675.161738223,0.259806342,3.254756452399917
-23_137_1000000.0,207.84,-23,137,1000000,583.117644567,0.274095233,2.811038909221812
23_-2_1000000.0,199.68,23,-2,1000000,4535.847531267,0.275403902,21.86598881972987
-11_-43_1000000.0,211.0,-11,-43,1000000,150.231859707,0.289134148,0.7242236742033736
28_40_1000000.0,206.24,28,40,1000000,867.315022671,0.278381848,4.1810710034185
