Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,capacity_share_percent
28_40_1000000.0,206.24,28,40,1000000,597.598188639,0.278381848,2.535386751398284
-52_-75_1000000.0,204.24,-52,-75,1000000,136.238379514,0.399594444,0.5780087507266997
-17_139_1000000.0,207.72,-17,139,1000000,237.159547297,0.277433634,1.0061797134188761
38_-106_1000000.0,213.49,38,-106,1000000,102.06078015,0.275146266,0.4330059139218678
-19_16_1000000.0,199.85,-19,16,1000000,268.700643287,0.272257922,1.139996847436221
30_85_1000000.0,195.38,30,85,1000000,307.73112971,0.259806342,1.3055886782998238
77_-27_1000000.0,187.07,77,-27,1000000,0.122561007,0.404484575,0.000519980748424834
-10_-55_1000000.0,223.11,-10,-55,1000000,23.030524798,0.314286266,0.09770994718638969
20_9_1000000.0,195.6,20,9,1000000,5661.49822985,0.271836643,24.019630376921395
-49_69_1000000.0,206.69,-49,69,1000000,54.731887966,0.41057538,0.2322070352054536
11_108_1000000.0,218.77,11,108,1000000,66.826971904,0.307961083,0.28352197584022193
42_109_1000000.0,230.38,42,109,1000000,222.15261175,0.314632738,0.9425108698910787
3_37_1000000.0,201.43,3,37,1000000,428.336220308,0.286066907,1.8172712012167005
-20_-68_1000000.0,188.31,-20,-68,1000000,224.068210605,0.256231475,0.9506380430490525
17_25_1000000.0,193.74,17,25,1000000,1121.078260839,0.268090798,4.756317913689094
-20_124_1000000.0,201.2,-20,124,1000000,630.88109521,0.279250759,2.676593739592681
35_67_1000000.0,206.43,35,67,1000000,387.083209289,0.264478298,1.6422500254814394
23_-103_1000000.0,204.35,23,-103,1000000,333.020455989,0.273668726,1.4128818796824973
-11_-43_1000000.0,211.0,-11,-43,1000000,229.375892914,0.289134148,0.9731565641267641
19_-98_1000000.0,209.08,19,-98,1000000,58.079572128,0.281799406,0.24641001344996755
9_17_1000000.0,217.65,9,17,1000000,92.612526724,0.291739655,0.39292049027844933
5_120_1000000.0,209.23,5,120,1000000,9.907857996,0.301054969,0.04203535481759754
33_92_1000000.0,200.32,33,92,1000000,509.650769424,0.265497482,2.162258576419693
-25_16_1000000.0,200.91,-25,16,1000000,473.039214411,0.269068613,2.0069293714576553
33_79_1000000.0,200.86,33,79,1000000,387.077301497,0.265528479,1.6422249609182402
29_-2_1000000.0,204.24,29,-2,1000000,583.813869805,0.27866639,2.476905015654795
18_-3_1000000.0,198.7,18,-3,1000000,268.048903579,0.275879384,1.1372317583639353
-15_-72_1000000.0,193.95,-15,-72,1000000,108.606037521,0.26546059,0.46077500549277617
-7_114_1000000.0,209.12,-7,114,1000000,25.030635861,0.29514773,0.10619567419638015
17_11_1000000.0,194.64,17,11,1000000,375.570072198,0.268335699,1.5934040687792732
17_46_1000000.0,197.97,17,46,1000000,1416.489653207,0.278458181,6.009638530553272
12_-70_1000000.0,191.8,12,-70,1000000,93.809503214,0.384774401,0.39799881613715515
-26_138_1000000.0,209.39,-26,138,1000000,403.117522456,0.273940927,1.710277649969339
19_27_1000000.0,194.67,19,27,1000000,1210.99912595,0.273184449,5.137818685296057
34_80_1000000.0,197.71,34,80,1000000,637.448697687,0.262197128,2.7044576331338566
7_73_1000000.0,225.77,7,73,1000000,33.592318482,0.30503215,0.14251970780230083
-20_123_1000000.0,202.1,-20,123,1000000,510.625961652,0.281167729,2.166395954179436
-16_26_1000000.0,207.86,-16,26,1000000,161.178443541,0.282995008,0.6838201623326987
-28_-69_1000000.0,186.8,-28,-69,1000000,391.615214053,0.245292451,1.6614776353610614
42_96_1000000.0,228.52,42,96,1000000,440.102385703,0.293923503,1.8671906628622992
3_36_1000000.0,199.73,3,36,1000000,170.149056517,0.279525703,0.7218791352741499
20_-12_1000000.0,196.72,20,-12,1000000,1180.643627844,0.273445591,5.009031601946077
-6_106_1000000.0,221.77,-6,106,1000000,28.498657528,0.309521433,0.1209091996976858
18_-77_1000000.0,215.81,18,-77,1000000,24.406242098,0.301228951,0.1035466037934539
23_12_1000000.0,198.18,23,12,1000000,979.173755581,0.267953274,4.154269899764807
33_64_1000000.0,207.15,33,64,1000000,888.790547838,0.271625981,3.770807580405417
-14_-47_1000000.0,215.38,-14,-47,1000000,181.232801235,0.296309685,0.7689033399122159
69_-48_1000000.0,227.24,69,-48,1000000,1.742040695,0.408384395,0.007390830465130055
30_-115_1000000.0,210.1,30,-115,1000000,282.990362155,0.273992797,1.2006228074674006
18_28_1000000.0,194.22,18,28,1000000,610.559569135,0.275279609,2.5903770659844647
