node_id,demand_percent,industry
oft_f1,0.103,Fertilizer
oft_f2,0.103,Fertilizer
oft_f3,0.103,Fertilizer
oft_f4,0.076,Fertilizer
oft_f5,0.076,Fertilizer
oft_f6,0.076,Fertilizer
oft_f7,0.05,Fertilizer
oft_f8,0.05,Fertilizer
oft_f9,0.09,Fertilizer
oft_f10,0.033,Fertilizer
oft_f11,0.033,Fertilizer
oft_f12,0.033,Fertilizer
oft_f13,0.06,Fertilizer
oft_steel1,0.17,Steel
oft_steel2,0.17,Steel
oft_steel3,0.17,Steel
oft_steel4,0.04,Steel
oft_steel5,0.04,Steel
oft_steel6,0.04,Steel
oft_steel7,0.04,Steel
oft_steel8,0.055,Steel
oft_steel9,0.055,Steel
oft_steel10,0.025,Steel
oft_steel11,0.025,Steel
oft_steel12,0.02,Steel
oft_sh1,0.49,Shipping
oft_sh2,0.037,Shipping
oft_sh3,0.088,Shipping
oft_sh4,0.067,Shipping
oft_sh5,0.065,Shipping
oft_sh6,0.058,Shipping
oft_sh7,0.056,Shipping
oft_sh8,0.051,Shipping
oft_sh9,0.046,Shipping
oft_sh10,0.042,Shipping
