region,ammonia,naturalgas,lsfo
Western Europe,539.5,389.0,173.5
Nordics,539.5,389.0,178.0
Mediterranean,524.5,389.0,188.2
Middle East & India,374.9,253.2,188.2
Red Sea,368.5,253.2,194.9
Japan & South Korea,385.0,391.6,191.8
China & Hong Kong,385.0,391.6,194.5
South-east Asia,374.9,391.6,190.5
West Australia,389.9,391.6,199.4
East Australia,394.9,391.6,203.8
East Africa,388.5,253.2,199.4
West Africa,535.0,114.8,197.2
NA East Coast,534.3,114.8,178.4
NA West Coast,549.3,114.8,218.6
Gulf of Mexico,524.3,114.8,178.4
Panama,505.7,114.8,179.3
N Latin America,515.7,114.8,178.9
S Latin America,525.7,114.8,179.3
