node_id,co2_tax,fossil_price,conversion
oft_f1,15,385.0,2.0
oft_f2,15,385.0,2.0
oft_f3,15,385.0,2.0
oft_f4,75,539.5,2.0
oft_f5,75,539.5,2.0
oft_f6,75,539.5,2.0
oft_f7,0,534.3,2.0
oft_f8,0,549.3,2.0
oft_f9,0,374.9,2.0
oft_f10,0,374.9,2.0
oft_f11,0,374.9,2.0
oft_f12,0,374.9,2.0
oft_f13,0,374.9,2.0
oft_steel1,15,391.6,1.9
oft_steel2,15,391.6,1.9
oft_steel3,15,391.6,1.9
oft_steel4,25,391.6,1.9
oft_steel5,25,391.6,1.9
oft_steel6,0,253.2,1.9
oft_steel7,0,253.2,1.9
oft_steel8,75,389.0,1.9
oft_steel9,75,389.0,1.9
oft_steel10,0,114.8,1.9
oft_steel11,0,114.8,1.9
oft_steel12,0,114.8,1.9
oft_ship1,0,178.4,1.4
oft_ship2,0,194.5,1.4
oft_ship3,75,188.2,1.4
oft_ship4,0,178.4,1.4
oft_ship5,75,173.5,1.4
oft_ship6,75,188.2,1.4
oft_ship7,0,178.4,1.4
oft_ship8,0,179.3,1.4
oft_ship9,75,188.2,1.4
oft_ship10,75,188.2,1.4
oft_ship11,75,188.2,1.4
oft_ship12,75,188.2,1.4
oft_ship13,75,188.2,1.4
oft_ship14,75,188.2,1.4
oft_ship15,75,188.2,1.4
oft_ship16,75,188.2,1.4
oft_ship17,75,173.5,1.4
oft_ship18,75,188.2,1.4
oft_ship19,0,178.4,1.4
oft_ship20,0,178.4,1.4
oft_ship21,0,190.5,1.4
oft_ship22,0,178.4,1.4
oft_ship23,0,218.6,1.4
oft_ship24,0,178.4,1.4
oft_ship25,0,178.4,1.4
oft_ship26,0,218.6,1.4
oft_ship27,0,178.4,1.4
oft_ship28,0,178.4,1.4
oft_ship29,0,191.8,1.4
oft_ship30,0,191.8,1.4
oft_ship31,0,190.5,1.4
oft_ship32,0,194.9,1.4
oft_ship33,0,199.4,1.4
oft_ship34,75,188.2,1.4
oft_ship35,75,188.2,1.4
oft_ship36,0,190.5,1.4
oft_ship37,75,188.2,1.4
oft_ship38,75,188.2,1.4
oft_ship39,75,188.2,1.4
oft_ship40,75,188.2,1.4
oft_ship41,0,178.4,1.4
oft_ship42,0,178.4,1.4
oft_ship43,75,188.2,1.4
oft_ship44,0,191.8,1.4
oft_ship45,0,191.8,1.4
oft_ship46,75,188.2,1.4
oft_ship47,75,188.2,1.4
oft_ship48,75,188.2,1.4
oft_ship49,75,173.5,1.4
oft_ship50,0,191.8,1.4
oft_ship51,0,194.9,1.4
oft_ship52,0,197.2,1.4
oft_ship53,75,173.5,1.4
oft_ship54,75,173.5,1.4
oft_ship55,0,191.8,1.4
oft_ship56,75,188.2,1.4
oft_ship57,75,188.2,1.4
oft_ship58,75,188.2,1.4
oft_ship59,0,191.8,1.4
oft_ship60,0,190.5,1.4
oft_ship61,0,194.5,1.4
oft_ship62,0,191.8,1.4
oft_ship63,0,191.8,1.4
oft_ship64,75,188.2,1.4
oft_ship65,0,188.2,1.4
oft_ship66,0,188.2,1.4
oft_ship67,0,188.2,1.4
oft_ship68,0,188.2,1.4
oft_ship69,0,178.9,1.4
oft_ship70,75,188.2,1.4
oft_ship71,75,188.2,1.4
oft_ship72,0,178.9,1.4
oft_ship73,0,178.9,1.4
oft_ship74,0,194.9,1.4
oft_ship75,0,197.2,1.4
oft_ship76,0,188.2,1.4
oft_ship77,0,178.9,1.4
oft_ship78,0,218.6,1.4
oft_ship79,0,203.8,1.4
oft_ship80,0,199.4,1.4
oft_ship81,75,188.2,1.4
oft_ship82,75,188.2,1.4
oft_ship83,75,188.2,1.4
oft_ship84,75,188.2,1.4
oft_ship85,75,173.5,1.4
oft_ship86,75,173.5,1.4
oft_ship87,75,173.5,1.4
oft_ship88,75,173.5,1.4
oft_ship89,75,173.5,1.4
oft_ship90,75,173.5,1.4
oft_ship91,75,178.0,1.4
oft_ship92,75,178.0,1.4
oft_ship93,75,173.5,1.4
oft_ship94,75,173.5,1.4
oft_ship95,75,173.5,1.4
oft_ship96,0,178.4,1.4
oft_ship97,75,173.5,1.4
oft_ship98,75,178.0,1.4
oft_ship99,0,179.3,1.4
oft_ship100,0,178.4,1.4
oft_ship101,0,178.4,1.4
oft_ship102,75,173.5,1.4
oft_ship103,0,190.5,1.4
oft_ship104,75,178.0,1.4
oft_ship105,75,178.0,1.4
oft_ship106,75,173.5,1.4
oft_ship107,0,190.5,1.4
oft_ship108,0,194.5,1.4
oft_ship109,75,178.0,1.4
oft_ship110,75,178.0,1.4
oft_ship111,75,173.5,1.4
oft_ship112,75,178.0,1.4
oft_ship113,75,178.0,1.4
oft_ship114,0,179.3,1.4
oft_ship115,0,218.6,1.4
oft_ship116,75,188.2,1.4
oft_ship117,75,188.2,1.4
oft_ship118,75,178.0,1.4
oft_ship119,75,173.5,1.4
oft_ship120,0,218.6,1.4
oft_ship121,75,173.5,1.4
oft_ship122,75,173.5,1.4
oft_ship123,75,173.5,1.4
oft_ship124,75,188.2,1.4
oft_ship125,75,173.5,1.4
oft_ship126,0,178.4,1.4
oft_ship127,75,178.0,1.4
oft_ship128,75,178.0,1.4
oft_ship129,75,188.2,1.4
oft_ship130,0,178.4,1.4
oft_ship131,75,173.5,1.4
oft_ship132,75,178.0,1.4
oft_ship133,0,218.6,1.4
oft_ship134,75,178.0,1.4
oft_ship135,0,191.8,1.4
oft_ship136,0,191.8,1.4
oft_ship137,0,190.5,1.4
oft_ship138,0,194.5,1.4
oft_ship139,0,194.5,1.4
oft_ship140,0,190.5,1.4
oft_ship141,0,190.5,1.4
oft_ship142,0,203.8,1.4
oft_ship143,0,179.3,1.4
oft_ship144,0,190.5,1.4
oft_ship145,75,178.0,1.4
oft_ship146,0,194.5,1.4
oft_ship147,75,178.0,1.4
oft_ship148,0,194.5,1.4
oft_ship149,0,194.5,1.4
oft_ship150,75,178.0,1.4
oft_ship151,75,178.0,1.4
oft_ship152,75,178.0,1.4
oft_ship153,0,179.3,1.4
oft_ship154,0,199.4,1.4
oft_ship155,0,178.9,1.4
oft_ship156,0,194.5,1.4
oft_ship157,0,203.8,1.4
oft_ship158,0,203.8,1.4
oft_ship159,0,203.8,1.4
oft_ship160,0,203.8,1.4
oft_ship161,0,178.9,1.4
oft_ship162,0,178.9,1.4
oft_ship163,0,194.5,1.4
oft_ship164,0,191.8,1.4
oft_ship165,0,191.8,1.4
