Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,X,Y,Z,cluster
45_98_1000000.0,233.8,45,98,1000000,147.979763602,0.30130443,-0.09841024344762223,0.7002252665996707,0.7071067811865475,0
-15_-51_1000000.0,217.37,-15,-51,1000000,99.484284759,0.302364075,0.6078768187253739,-0.750665354967537,-0.25881904510252074,1
7_23_1000000.0,221.45,7,23,1000000,27.385467069,0.300284857,0.9136435498613787,0.3878186779084996,0.12186934340514748,2
35_-103_1000000.0,222.81,35,-103,1000000,100.067734494,0.300116075,-0.18426911603074114,-0.7981572304628228,0.573576436351046,3
-20_124_1000000.0,201.2,-20,124,1000000,393.386847446,0.279250759,-0.5254694449873074,0.7790404892842349,-0.3420201433256687,4
42_12_1000000.0,259.31,42,12,1000000,17.984949236,0.304870112,0.726905328038456,0.15450849718747373,0.6691306063588582,5
36_59_1000000.0,226.21,36,59,1000000,341.723941492,0.289058158,0.41667455535239106,0.6934629132905097,0.5877852522924731,6
38_96_1000000.0,211.58,38,96,1000000,411.506071228,0.279072227,-0.08236955311289623,0.7836939482475385,0.6156614753256583,7
62_-114_1000000.0,308.24,62,-114,1000000,17.777792276,0.447491137,-0.19095128746708304,-0.42888361367542366,0.8829475928589269,8
18_28_1000000.0,194.22,18,28,1000000,841.898508147,0.275279609,0.8397330617356027,0.44649398900279075,0.3090169943749474,9
30_85_1000000.0,195.38,30,85,1000000,57.668865278,0.259806342,0.07547908730517329,0.862729915662821,0.49999999999999994,10
19_4_1000000.0,197.65,19,4,1000000,4174.354858925,0.276766809,0.9432153398707543,0.0659560416933765,0.3255681544571567,11
48_-89_1000000.0,255.21,48,-89,1000000,25.001934283,0.434049771,0.011677939301800815,-0.6690286945265029,0.7431448254773942,12
-52_-74_1000000.0,206.13,-52,-74,1000000,65.659961223,0.399960052,0.16969930113715712,-0.5918117938954298,-0.7880107536067219,13
-25_16_1000000.0,200.91,-25,16,1000000,315.708575151,0.269068613,0.8711989604089548,0.2498122819751382,-0.42261826174069944,14
35_128_1000000.0,264.3,35,128,1000000,4.652021282,0.315632117,-0.5043203561029895,0.6455006197386554,0.573576436351046,15
16_-94_1000000.0,213.28,16,-94,1000000,40.898017572,0.289063172,-0.06705422625395474,-0.958920110759857,0.27563735581699916,16
-28_142_1000000.0,214.12,-28,142,1000000,206.300239361,0.279805991,-0.6957721980440041,0.5435968176547658,-0.4694715627858908,17
12_-70_1000000.0,191.8,12,-70,1000000,80.257149438,0.384774401,0.3345461825966353,-0.9191580824489981,0.20791169081775934,18
42_109_1000000.0,230.38,42,109,1000000,141.340620476,0.314632738,-0.241944289325061,0.7026572368493887,0.6691306063588582,19
-11_-43_1000000.0,211.0,-11,-43,1000000,149.480137527,0.289134148,0.7179166742244495,-0.6694681293040762,-0.1908089953765448,20
68_13_1000000.0,284.28,68,13,1000000,3.983824715,0.443768869,0.3650054506956384,0.08426814815307296,0.9271838545667874,21
3_36_1000000.0,199.73,3,36,1000000,164.993882159,0.279525703,0.8079082647011975,0.5869797130324322,0.052335956242943835,22
48_58_1000000.0,278.07,48,58,1000000,24.955784888,0.399483661,0.3545851985976044,0.5674549368026246,0.7431448254773942,23
38_-106_1000000.0,213.49,38,-106,1000000,98.513471682,0.275146266,-0.21720520047951758,-0.7574845534296303,0.6156614753256583,24
33_80_1000000.0,195.38,33,80,1000000,441.425454841,0.260789243,0.14563361578661244,0.8259292775358054,0.5446390350150271,25
53_-98_1000000.0,258.74,53,-98,1000000,30.444537697,0.427181419,-0.0837564629764241,-0.5959582007164425,0.7986355100472928,26
-28_-69_1000000.0,186.8,-28,-69,1000000,392.483055321,0.245292451,0.31642011840881235,-0.8243025903159147,-0.4694715627858908,27
46_109_1000000.0,242.27,46,109,1000000,86.199180542,0.312634828,-0.2261586436485516,0.6568123929645338,0.7193398003386511,28
26_-7_1000000.0,200.93,26,-7,1000000,1631.7106797840001,0.276499499,0.8920945717723704,-0.1095354402789352,0.43837114678907746,29
-19_16_1000000.0,199.85,-19,16,1000000,231.594978344,0.272257922,0.9088907895217829,0.2606202400540511,-0.3255681544571567,30
18_45_1000000.0,199.63,18,45,1000000,750.977281835,0.27842051,0.6724985119639574,0.6724985119639573,0.3090169943749474,31
46_142_1000000.0,254.41,46,142,1000000,40.652460192,0.429271806,-0.5473982660046119,0.4276743972041041,0.7193398003386511,32
11_108_1000000.0,218.77,11,108,1000000,40.81537755,0.307961083,-0.30333948182574216,0.933582929390359,0.1908089953765448,33
17_10_1000000.0,194.71,17,10,1000000,900.534782262,0.27110128,0.9417763379148448,0.16606057816719963,0.29237170472273677,34
37_47_1000000.0,222.84,37,47,1000000,77.160709274,0.289518261,0.5446681081399307,0.5840850365176018,0.6018150231520483,35
-10_-57_1000000.0,225.54,-10,-57,1000000,17.251478207999998,0.318471154,0.5363647442758861,-0.8259292775358054,-0.17364817766693033,36
-16_26_1000000.0,207.86,-16,26,1000000,119.456114076,0.282995008,0.8639762892448012,0.4213893920128943,-0.27563735581699916,37
27_-114_1000000.0,209.95,27,-114,1000000,289.364581594,0.271766109,-0.3624050026070136,-0.8139749629022057,0.4539904997395468,38
39_73_1000000.0,205.5,39,73,1000000,148.838819226,0.25464323,0.22721548956956486,0.7431883790187671,0.6293203910498374,39
26_68_1000000.0,215.39,26,68,1000000,118.59995544099999,0.292584193,0.3366941758666344,0.8333473283093413,0.43837114678907746,40
-20_122_1000000.0,203.38,-20,122,1000000,451.162876941,0.28276502,-0.49796122221224054,0.796904538029732,-0.3420201433256687,41
-41_174_1000000.0,251.37,-41,174,1000000,10.844495589,0.366119048,-0.7505752021757451,0.0788886326340624,-0.6560590289905073,42
-12_143_1000000.0,229.79,-12,143,1000000,7.549436117,0.349993806,-0.7811834080135788,0.5886639209817356,-0.20791169081775934,43
47_-64_1000000.0,233.92,47,-64,1000000,11.823134771,0.430595797,0.29896840320886764,-0.6129760656099692,0.7313537016191705,44
35_25_1000000.0,235.09,35,25,1000000,34.762020068,0.29135672,0.7424038765061041,0.34618861305875415,0.573576436351046,45
-10_-48_1000000.0,217.96,-10,-48,1000000,66.437380949,0.3014993,0.6589650089199635,-0.7318547857410421,-0.17364817766693033,46
11_-64_1000000.0,199.43,11,-64,1000000,16.440482522,0.2974979,0.43031703412728456,-0.8822806681681806,0.1908089953765448,47
30_-85_1000000.0,243.47,30,-85,1000000,54.695901503,0.313135485,0.07547908730517329,-0.862729915662821,0.49999999999999994,48
47_-119_1000000.0,264.52,47,-119,1000000,27.981704732,0.308975388,-0.33063936595052446,-0.5964892059474106,0.7313537016191705,49
12_10_1000000.0,206.45,12,10,1000000,75.898418429,0.290368076,0.9632873407929415,0.16985354835670552,0.20791169081775934,50
55_15_1000000.0,236.98,55,15,1000000,5.571968415,0.421891173,0.5540322932223235,0.14845250554968453,0.8191520442889918,51
16_-5_1000000.0,201.95,16,-5,1000000,145.165663055,0.279804678,0.9576038049724329,-0.08377947708437773,0.27563735581699916,52
-30_-70_1000000.0,191.82,-30,-70,1000000,198.498641098,0.249945198,0.29619813272602397,-0.8137976813493737,-0.49999999999999994,53
30_90_1000000.0,197.37,30,90,1000000,350.274130327,0.262205919,5.3028761936245346e-17,0.8660254037844387,0.49999999999999994,54
21_23_1000000.0,195.84,21,23,1000000,928.282324527,0.267182539,0.8593653136788735,0.36477893358074914,0.35836794954530027,55
-14_-43_1000000.0,213.58,-14,-43,1000000,136.179448519,0.290634012,0.7096293710772115,-0.6617400940958805,-0.24192189559966773,56
49_88_1000000.0,242.8,49,88,1000000,59.998760409,0.288505045,0.022896129918900273,0.655659375556168,0.754709580222772,57
57_-64_1000000.0,243.54,57,-64,1000000,16.681034445,0.42657608,0.23875403836563394,-0.4895183220536299,0.838670567945424,58
17_46_1000000.0,197.97,17,46,1000000,731.430759565,0.278458181,0.6643051034394714,0.6879080722173524,0.29237170472273677,59
46_65_1000000.0,263.42,46,65,1000000,51.336246676,0.329424722,0.2935753130270083,0.6295742904771793,0.7193398003386511,60
-6_-81_1000000.0,203.89,-6,-81,1000000,41.329269167999996,0.280663837,0.15557750067273235,-0.9822776805218211,-0.10452846326765347,61
31_100_1000000.0,214.26,31,100,1000000,62.294032834,0.286224818,-0.14884553972260348,0.8441450033599869,0.5150380749100542,62
23_-103_1000000.0,204.35,23,-103,1000000,146.90250884,0.273668726,-0.20706853731277144,-0.8969123736935778,0.39073112848927377,63
44_118_1000000.0,244.73,44,118,1000000,37.678836844,0.309884164,-0.3377095802390773,0.6351393451566332,0.6946583704589973,64
25_119_1000000.0,248.17,25,119,1000000,40.086499239,0.409864264,-0.43938673405953627,0.7926746512761487,0.42261826174069944,65
58_-93_1000000.0,260.84,58,-93,1000000,21.48871889,0.433054283,-0.027733831425202006,-0.5291930282986915,0.848048096156426,66
37_-118_1000000.0,212.24,37,-118,1000000,153.463546745,0.27197694,-0.37493666099820966,-0.7051533011679185,0.6018150231520483,67
-21_25_1000000.0,203.35,-21,25,1000000,135.372973079,0.277945455,0.8461112103594107,0.39454813704138825,-0.35836794954530027,68
12_28_1000000.0,207.17,12,28,1000000,104.46609589,0.282835079,0.8636530695286485,0.4592124827517693,0.20791169081775934,69
-30_141_1000000.0,216.89,-30,141,1000000,119.80675939300001,0.277225996,-0.673028145070219,0.5450074457687163,-0.49999999999999994,70
-7_114_1000000.0,209.12,-7,114,1000000,4.055958435,0.29514773,-0.4037048898163955,0.9067360283325738,-0.12186934340514748,71
29_98_1000000.0,219.61,29,98,1000000,39.006669857,0.293782547,-0.12172353680337392,0.8661079682722472,0.48480962024633706,72
38_89_1000000.0,214.36,38,89,1000000,460.193561351,0.283416139,0.013752683948894654,0.7878907357521319,0.6156614753256583,73
54_15_1000000.0,281.04,54,15,1000000,8.570644878,0.443340908,0.5677569555011357,0.15213001772368218,0.8090169943749473,74
-18_136_1000000.0,205.88,-18,136,1000000,252.788223028,0.276249797,-0.684132804542529,0.660659369824002,-0.3090169943749474,75
17_29_1000000.0,195.18,17,29,1000000,464.302197364,0.273013884,0.8364029855964014,0.46362574557820524,0.29237170472273677,76
20_-12_1000000.0,196.72,20,-12,1000000,904.971646205,0.273445591,0.9191580824489982,-0.19537308163656977,0.3420201433256687,77
-6_35_1000000.0,205.94,-6,35,1000000,86.332653093,0.277023264,0.8146646436810838,0.570434324618422,-0.10452846326765347,78
35_67_1000000.0,206.43,35,67,1000000,658.346989621,0.264478298,0.3200682026693333,0.7540334324835053,0.573576436351046,79
27_38_1000000.0,204.22,27,38,1000000,489.400269333,0.278434974,0.7021227225941816,0.5485583912065974,0.4539904997395468,80
26_6_1000000.0,201.12,26,6,1000000,990.104545237,0.276036101,0.8938703584711671,0.09394956045376811,0.43837114678907746,81
46_150_1000000.0,280.15,46,150,1000000,6.2588401099999995,0.42245279,-0.6015917957689934,0.3473291852294986,0.7193398003386511,82
37_-3_1000000.0,227.66,37,-3,1000000,36.555371676,0.290485639,0.7975410078370098,-0.04179735310789625,0.6018150231520483,83
10_79_1000000.0,232.32,10,79,1000000,24.903750928,0.307757502,0.18791017799129198,0.9667140608267965,0.17364817766693033,84
17_25_1000000.0,193.74,17,25,1000000,623.755880919,0.268090798,0.8667064471094822,0.4041518536594618,0.29237170472273677,85
-9_17_1000000.0,215.01,-9,17,1000000,84.562373032,0.29514439,0.9445310575203687,0.28877212387457146,-0.15643446504023087,86
-23_-52_1000000.0,233.98,-23,-52,1000000,89.130076931,0.301705643,0.5667193761209584,-0.7253677232677026,-0.39073112848927377,87
59_-3_1000000.0,250.99,59,-3,1000000,3.960704256,0.404087047,0.5143322331283188,-0.026955010151942623,0.8571673007021123,88
-15_-72_1000000.0,193.95,-15,-72,1000000,123.816507459,0.26546059,0.29848749562898547,-0.9186500513499989,-0.25881904510252074,89
-17_31_1000000.0,215.04,-17,31,1000000,72.362343805,0.286039626,0.8197131663174273,0.4925333605385309,-0.29237170472273677,90
16_46_1000000.0,198.64,16,46,1000000,411.407101406,0.282910158,0.6677484832851648,0.6914737964294634,0.27563735581699916,91
16_6_1000000.0,199.5,16,6,1000000,137.832859344,0.284222819,0.9559958037894977,0.10047920787449084,0.27563735581699916,92
45_35_1000000.0,272.73,45,35,1000000,12.647996685,0.309501186,0.5792279653395692,0.40557978767263886,0.7071067811865475,93
7_122_1000000.0,215.41,7,122,1000000,9.072636006,0.304443535,-0.5259693263952683,0.8417268742468105,0.12186934340514748,94
44_-87_1000000.0,249.91,44,-87,1000000,15.539866852,0.429614126,0.037647336314331696,-0.7183539701426352,0.6946583704589973,95
45_-82_1000000.0,245.77,45,-82,1000000,20.647155107,0.429115517,0.09841024344762231,-0.7002252665996707,0.7071067811865475,96
18_-67_1000000.0,210.62,18,-67,1000000,10.479548593,0.295157488,0.37160738586908265,-0.8754521391572587,0.3090169943749474,97
30_55_1000000.0,207.94,30,55,1000000,490.800505336,0.2798115,0.49673176489215415,0.7094064799162225,0.49999999999999994,98
-23_132_1000000.0,204.58,-23,132,1000000,358.216537438,0.27381807,-0.6159379707469034,0.6840684186700081,-0.39073112848927377,99
