Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,X,Y,Z,cluster,capacity_share_percent
17_25_1000000.0,193.74,17,25,1000000,501.932893381,0.268090798,0.8667064471094822,0.4041518536594618,0.29237170472273677,0,2.0567309984222173
42_109_1000000.0,230.38,42,109,1000000,241.694173201,0.314632738,-0.241944289325061,0.7026572368493887,0.6691306063588582,1,0.9903712323216753
27_-82_1000000.0,241.79,27,-82,1000000,95.36248051,0.319968617,0.12400414094694474,-0.8823353099441544,0.4539904997395468,2,0.39075934719120353
-20_124_1000000.0,201.2,-20,124,1000000,570.612394126,0.279250759,-0.5254694449873074,0.7790404892842349,-0.3420201433256687,3,2.338153594950836
-20_-68_1000000.0,188.31,-20,-68,1000000,192.139084103,0.256231475,0.3520150515306795,-0.8712678262482451,-0.3420201433256687,4,0.78731323548291
41_63_1000000.0,243.52,41,63,1000000,280.459885464,0.297957431,0.34263097948355986,0.6724511598459543,0.6560590289905073,5,1.1492184470363078
57_-90_1000000.0,260.42,57,-90,1000000,34.917843435,0.434825565,3.3349522546092805e-17,-0.5446390350150271,0.838670567945424,6,0.14308010480656963
40_4_1000000.0,241.94,40,4,1000000,40.146648643,0.296819052,0.7641783973567993,0.05343655908326208,0.6427876096865393,7,0.16450576926853575
36_91_1000000.0,202.91,36,91,1000000,840.650201927,0.268237689,-0.014119293400501061,0.8088937771681424,0.5877852522924731,8,3.4446663128346517
-19_16_1000000.0,199.85,-19,16,1000000,274.158537348,0.272257922,0.9088907895217829,0.2606202400540511,-0.3255681544571567,9,1.1233979077312874
-52_-74_1000000.0,206.13,-52,-74,1000000,148.117511341,0.399960052,0.16969930113715712,-0.5918117938954298,-0.7880107536067219,10,0.6069294939651403
35_67_1000000.0,206.43,35,67,1000000,1201.210040638,0.264478298,0.3200682026693333,0.7540334324835053,0.573576436351046,11,4.922104047723496
17_26_1000000.0,193.85,17,26,1000000,1533.191600648,0.269622178,0.8595210211071541,0.4192164125513647,0.29237170472273677,12,6.282438814345068
22_4_1000000.0,198.49,22,4,1000000,5453.894359683,0.275268809,0.9249252812971602,0.064677076207065,0.374606593415912,13,22.347994601671843
58_7_1000000.0,246.52,58,7,1000000,10.4321135,0.423336009,0.5259693263952684,0.06458091278983953,0.848048096156426,14,0.04274685221361323
32_-114_1000000.0,211.85,32,-114,1000000,335.253368658,0.279403073,-0.34493223579748816,-0.7747304861061586,0.5299192642332049,15,1.3737413999703434
-26_139_1000000.0,209.81,-26,139,1000000,512.495946669,0.274969214,-0.678328477389171,0.5896619492774806,-0.43837114678907746,16,2.100014392321896
