node_id,demand_percent,industry
oft_f1,0.103,fertilizer
oft_f2,0.103,fertilizer
oft_f3,0.103,fertilizer
oft_f4,0.076,fertilizer
oft_f5,0.076,fertilizer
oft_f6,0.076,fertilizer
oft_f7,0.05,fertilizer
oft_f8,0.05,fertilizer
oft_f9,0.09,fertilizer
oft_f10,0.033,fertilizer
oft_f11,0.033,fertilizer
oft_f12,0.033,fertilizer
oft_f13,0.06,fertilizer
oft_steel1,0.17,steel
oft_steel2,0.17,steel
oft_steel3,0.17,steel
oft_steel4,0.04,steel
oft_steel5,0.04,steel
oft_steel6,0.04,steel
oft_steel7,0.04,steel
oft_steel8,0.055,steel
oft_steel9,0.055,steel
oft_steel10,0.025,steel
oft_steel11,0.025,steel
oft_steel12,0.02,steel
