Main Port Name,Country Code,Latitude,Longitude,Facilities - Liquid Bulk,node_id
Maputo,Mozambique,-25.962777778,32.544722222,Yes,1
Durban,South Africa,-29.866667,31.066667,Yes,2
Richards Bay,South Africa,-28.81,32.098333333,Yes,3
Karachi,Pakistan,24.783333,66.983333,Yes,4
Rade De Brest,France,48.383333,-4.5,Yes,5
Lorient,France,47.75,-3.35,Yes,6
Port Elizabeth,South Africa,-33.951944444,25.6425,Yes,7
Puerto La Cruz,Venezuela,10.25,-64.633333,Yes,8
Cartagena,Colombia,10.416667,-75.533333,Yes,9
Tarabulus,Lebanon,34.45,35.833333,Yes,10
Bayrut,Lebanon,33.9,35.5,Yes,11
Baniyas,Syria,35.188333333,35.943333333,Yes,12
Santiago De Cuba,Cuba,20.016667,-75.83333299999998,Yes,13
Road Harbor,British Virgin Islands,18.416667,-64.616667,Yes,14
Cienfuegos,Cuba,22.15,-80.45,Yes,15
Nassau,The Bahamas,25.083333,-77.34999999999998,Yes,16
Aden,Yemen,12.783333,44.95,Yes,17
Duqm,Oman,19.673252583,57.716908916,Yes,18
Bandar Abbas,Iran,27.15,56.2,Yes,19
Veracruz,Mexico,19.2,-96.133333,Yes,20
Al Ladhiqiyah,Syria,35.533333,35.766667,Yes,21
Nuevitas Bay,Cuba,21.55,-77.266667,Yes,22
Port Dickson,Malaysia,2.533333,101.783333,Yes,23
Lerwick,United Kingdom,60.167,-1.15,Yes,24
Arhus,Denmark,56.15,10.216667,Yes,25
Lulea,Sweden,65.583333,22.166667,Yes,26
Malmo,Sweden,55.623333333,12.984722222,Yes,27
Falkenberg,Sweden,56.881666667,12.466111111,Yes,28
Kiel,Germany,54.316667,10.133333,Yes,29
Gdansk,Poland,54.35,18.666667,Yes,30
Kaliningrad,Russia,54.7,20.483333,Yes,31
Bergen,Norway,60.402777778,5.298611111,Yes,32
Mongstad,Norway,60.830833333,5.036666667,Yes,33
Kokkola,Finland,63.85,23.016667,Yes,34
Kaskinen,Finland,62.383333,21.233333,Yes,35
Hammerfest,Norway,70.666667,23.666667,Yes,36
Kotka,Finland,60.466667,26.966667,Yes,37
Liepaja,Latvia,56.516667,21.016667,Yes,38
Argentia,Canada,47.3,-53.983333,Yes,39
Drammen,Norway,59.733333,10.25,Yes,40
Norrkoping,Sweden,58.583333,16.2,Yes,41
Helsinki,Finland,60.166667,24.966667,Yes,42
Uddevalla,Sweden,58.334722222,11.8775,Yes,43
Rauma,Finland,61.125,21.446111111,Yes,44
Oulu,Finland,65.016667,25.4,Yes,45
