Main Port Name,Country Code,Latitude,Longitude,Facilities - Liquid Bulk,node_id
Houston,United States,29.75,-95.28333300000001,Unknown,1
Dalian,China,38.916667,121.666667,Unknown,2
Livorno,Italy,43.542,10.29,Unknown,3
Norfolk,United States,36.85,-76.29999999999998,Unknown,4
Toulon,France,43.1,5.916667,Unknown,5
Taranto,Italy,40.466667,17.2,Unknown,6
Philadelphia,United States,39.95,-75.13333299999998,Unknown,7
Rio De Janeiro,Brazil,-22.9,-43.166667,Unknown,8
Alger,Algeria,36.766667,3.066667,Unknown,9
Civitavecchia,Italy,42.102,11.771,Unknown,10
Piraievs,Greece,37.933333,23.65,Unknown,11
Rijeka Luka,Croatia,45.333333,14.433333,Unknown,12
Napoli,Italy,40.833,14.275,Unknown,13
Siracusa,Italy,37.05,15.283333,Unknown,14
Porto Di Lido-Venezia,Italy,45.416667,12.433333,Unknown,15
Casablanca,Morocco,33.6,-7.616667,Unknown,16
Lisboa,Portugal,38.7,-9.166667,Unknown,17
Agadir,Morocco,30.433333,-9.633333,Unknown,18
Tapis Marine Terminal A,Malaysia,5.516667,105.016667,Unknown,19
Baltimore,United States,39.266667,-76.58333299999998,Unknown,20
Chester,United States,39.85,-75.34999999999998,Unknown,21
Keppel - (East Singapore),Singapore,1.283333,103.85,Unknown,22
Galveston,United States,29.316667,-94.78333300000001,Unknown,23
Oakland,United States,37.816667,-122.333333,Unknown,24
New Orleans,United States,29.95,-90.04999999999998,Unknown,25
Mobile,United States,30.683333,-88.116667,Unknown,26
San Francisco,United States,37.816667,-122.416667,Unknown,27
New York City,United States,40.7,-74.016667,Unknown,28
Brooklyn,United States,40.666667,-74.016667,Unknown,29
Nagasaki,Japan,32.716667,129.85,Unknown,30
Kobe,Japan,34.65,135.183333,Unknown,31
Cebu,Philippines,10.3,123.9,Unknown,32
As Suways,Egypt,29.966667,32.55,Unknown,33
Durban,South Africa,-29.866667,31.066667,Yes,34
Oran,Algeria,35.7,-0.633333,Unknown,35
Izmir,Turkey,38.433333,27.133333,Unknown,36
Jakarta,Indonesia,-6.1,106.883333,Unknown,37
Brindisi,Italy,40.65,17.983333,Unknown,38
La Spezia,Italy,44.1,9.833333,Unknown,39
Genova,Italy,44.398,8.922,Unknown,40
Barcelona,Spain,41.35,2.166667,Unknown,41
Boston,United States,42.35,-71.05,Unknown,42
Loop Terminal,United States,28.883333,-90.016667,Unknown,43
Montreal,Canada,45.516667,-73.54999999999998,Unknown,44
Gioia Tauro,Italy,38.444,15.89,Unknown,45
Mikawa,Japan,34.716667,137.3,Unknown,46
Onomichi-Itozaki,Japan,34.383333,133.166667,Unknown,47
Messina,Italy,38.2,15.566667,Unknown,48
Al Iskandariyh (Alexandria),Egypt,31.166667,29.833333,Unknown,49
Damietta,Egypt,31.483333,31.75,Unknown,50
Port Of Le Havre,France,49.483333,0.116667,Unknown,51
Nagoya Ko,Japan,35.066667,136.866667,Unknown,52
Muqdisho,Somalia,2.033333,45.35,Unknown,53
Lagos,Nigeria,6.4,3.4,Unknown,54
Rade De Brest,France,48.383333,-4.5,Yes,55
