Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac
20_24_1000000.0,194.92,20,24,1000000,1563.150862308,0.267440878
-19_128_1000000.0,201.36,-19,128,1000000,526.786894304,0.277590932
-28_-69_1000000.0,186.8,-28,-69,1000000,535.279853858,0.245292451
23_-103_1000000.0,204.35,23,-103,1000000,153.852183051,0.273668726
35_67_1000000.0,206.43,35,67,1000000,963.108768633,0.264478298
-19_13_1000000.0,200.0,-19,13,1000000,269.755500681,0.272777215
20_-12_1000000.0,196.72,20,-12,1000000,1162.374970699,0.273445591
-6_35_1000000.0,205.94,-6,35,1000000,161.686936263,0.277023264
-14_-47_1000000.0,215.38,-14,-47,1000000,155.679529634,0.296309685
18_24_1000000.0,194.62,18,24,1000000,736.290656607,0.267622076
18_26_1000000.0,194.14,18,26,1000000,1341.049646854,0.269575651
30_90_1000000.0,197.37,30,90,1000000,546.344942227,0.262205919
20_9_1000000.0,195.6,20,9,1000000,2134.606759835,0.271836643
-21_15_1000000.0,200.78,-21,15,1000000,489.542630394,0.272815899
12_-72_1000000.0,202.15,12,-72,1000000,53.895327915,0.310299224
17_46_1000000.0,197.97,17,46,1000000,1253.443698915,0.278458181
27_-114_1000000.0,209.95,27,-114,1000000,398.433454282,0.271766109
-20_124_1000000.0,201.2,-20,124,1000000,530.383695167,0.279250759
17_25_1000000.0,193.74,17,25,1000000,517.558023596,0.268090798
3_36_1000000.0,199.73,3,36,1000000,438.950082397,0.279525703
30_85_1000000.0,195.38,30,85,1000000,675.161738223,0.259806342
-23_137_1000000.0,207.84,-23,137,1000000,583.117644567,0.274095233
23_-2_1000000.0,199.68,23,-2,1000000,4535.847531267,0.275403902
-11_-43_1000000.0,211.0,-11,-43,1000000,150.231859707,0.289134148
28_40_1000000.0,206.24,28,40,1000000,867.315022671,0.278381848
