from_id,to_id,flow
t26,ost6,430.0
t23,os9,530.0
t25,ost2,620.0
ps4,t4,730.0
ps10,t13,300.0
t3,t26,120.0
ps7,t7,670.0
t1,t15,350.0
t2,t24,430.0
ps9,t9,690.0
t9,t25,320.0
ps3,t3,490.0
t21,os8,640.0
ps5,t14,560.0
t3,t18,370.0
t18,ost10,390.0
t2,t27,290.0
ps8,t8,620.0
t1,t27,330.0
t4,t16,540.0
t9,t23,190.0
t7,t21,360.0
ps1,t1,680.0
t6,t11,640.0
t27,os1,620.0
t22,ost7,560.0
t14,t22,560.0
t16,os3,540.0
t15,os2,520.0
t13,t25,300.0
t7,t26,310.0
t11,os5,640.0
ps6,os6,140.0
t24,ost9,430.0
t4,t15,170.0
t12,os10,180.0
t8,t23,340.0
t9,t12,180.0
ps6,t6,640.0
t4,t18,20.0
ps10,ost1,630.0
ps2,t2,720.0
t8,t21,280.0
