Nr,Location,Latitude,Longitude
ost1,Baoshan (China),31.41623,121.440087
ost2,Anshan (China),41.11667,122.98333
ost3,Bellary (India),15.20318,76.65912
ost4,Magnitogorsk (Russia),53.4186,59.0472
ost5,Abu Dhabi (UAE),24.32203,54.46799
ost6,Vanderbijlpark (South Africa),-26.6886,27.8358
ost7,Luleå (Sweden),65.55972,22.2197
ost8,Duisburg (Germany),51.35979,6.71754
ost9,Volta Redonda (Brazil),-22.512631,-44.11287
ost10,Ipatinga (Brazil),-19.491277,-42.544253
ost11,Gary (USA),41.60202,-87.34673
ost12,North Charleston (USA),32.8745,-79.96461
